id	experimental_strategy	project_id
de46634d-77b4-4a7b-a916-f3bf19a7d5fa	WXS	TCGA-THCA
84d01a18-7bbb-421d-ace8-1ca4db568b26	WXS	TCGA-CESC
ca529595-7450-4c05-a317-fdcfb450b1a4	WXS	TCGA-CESC
339c4df7-0f8c-4fcd-bc82-8bff9ad46fa7	WXS	TCGA-KIRP
f075dc17-1bb9-47f6-8afb-d807acefdfa3	WXS	TCGA-KIRP
982a5200-e27c-47ea-bffc-8d97992b1fec	WXS	TCGA-KIRP
95e01ede-bd4c-4fbc-b280-06974e183559	WXS	TCGA-KIRP
6b8816ac-3613-4154-a457-092eeb97bbce	WXS	TCGA-KIRP
fa133cf3-d003-41ae-a2e2-c0d934a3ce61	WXS	TCGA-LIHC
5c491ba1-c457-4ae8-8fd0-c57c6f4cbc6d	WXS	TCGA-KIRP
57961d27-2f80-4987-9dd9-aefbe9b059e3	WXS	TCGA-KIRP
ce2f1fc0-34c9-4879-820b-3f69f7609d79	WXS	TCGA-KIRP
f5a8bc77-15e6-40da-b3ab-39aaec196bcd	WXS	TCGA-LIHC
d0df4f82-0a79-4140-9e25-6f2b5e1659e2	WXS	TCGA-KIRP
8e980fdf-71e3-4268-ae00-2fff1d186559	WXS	TCGA-KIRP
e36b2cd4-4e58-44fd-987f-7bda280c2d96	WXS	TCGA-KIRP
b3f326e2-897b-41dc-a278-205cfe7a20fc	WXS	TCGA-KIRP
48fc0531-5597-485e-bfa7-58b5636feb6d	WXS	TCGA-LIHC
713b4ee3-c803-42ac-801c-68fbc89029fa	WXS	TCGA-LIHC
081631cc-733b-44ea-aac9-ac69f6326934	WXS	TCGA-LIHC
2a773bef-ad34-49c6-a130-31c147bcc550	WXS	TCGA-LIHC
5d5ae490-8cad-4bd4-bb65-d1757b0e5366	WXS	TCGA-LIHC
c9e3c7fc-d381-413f-9b71-b55f24e388a0	WXS	TCGA-LIHC
62c495db-66f8-4df2-be32-a05f9c6afd6f	WXS	TCGA-PAAD
f6f49539-9aac-4cc7-b6c3-eda4bac4d49d	WXS	TCGA-LIHC
022cfc6f-f778-44ae-95d1-759f006df7e6	WXS	TCGA-MESO
5292b4b7-ad6c-43cb-8665-8f12892b2946	WXS	TCGA-PAAD
