id	filename	md5	size	project_id	case_ids	aliquot_ids	data_category	data_type	experimental_strategy	workflow_type	new_id	new_md5	new_size
53ffd5a5-5e51-4d72-bb30-c58850100d1d	91e79452-d9e0-400b-9491-20c46f635787.htseq_counts.txt.gz	483ef6cb1867af8e4d4c6eb367a362c1	234068	CMI-ASC	6c8b33a7-3629-477c-9dc3-930eb34f1bd2	79d1980f-11da-4a85-a37a-6030b2f1a16b	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
713a293d-8fc9-4124-87a7-6a0e8a295d18	6d8441d7-5f7d-49c9-935d-b80c24c522f3.FPKM-UQ.txt.gz	21dabc716b380664288f2cb9a4c709bf	300629	CMI-ASC	0b5ae7d7-b0be-4a6f-9841-042acdf442b4	ff748bdb-e659-41a6-b915-d657046713b9	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
7b3d48dc-38ca-4903-9588-332be61c6889	1302bc09-9a4c-4c50-86c1-1f01cfa527b0.FPKM.txt.gz	c69933956da3dafee456501267be9596	289584	CMI-ASC	988f3866-78ed-491f-8782-6fd19d4525a1	882825fa-20ff-4796-a433-8d8a137cef27	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
d1035ce1-a356-4f0f-964a-53992dd10262	ad5cbec2-40a5-4979-9500-64d9bf92a02e.htseq_counts.txt.gz	f09324734de5c7de80b0a6cbd2039755	242438	CMI-ASC	04c90005-025d-4ef1-93cb-0eae9fc6c2b2	737f9e24-ec1f-408c-9d5d-5a2f2f069cb2	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
94681410-d342-44e3-a62f-9f23d1afb0ef	2e20de3e-6f34-409f-af5e-aa3cd3b27135.FPKM-UQ.txt.gz	3759c797ea8100f328fc3422e8fff323	238971	CMI-ASC	fc774c98-c5fa-4ba8-864d-45465e55250a	45a117eb-af19-401c-be54-f26350dfa2da	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
3814fc06-c4db-4248-9500-f289aee4a6bf	21101ea8-c29a-4735-b8f7-a836967733b1.FPKM.txt.gz	9f1ea62b3e3b076a47d4e220cf5f3eb9	279118	CMI-ASC	f697dd43-6060-4ad7-a926-c4e391597e2b	3864f5e1-6a02-41b1-9c57-e7edfe1b05d0	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
fb5d6ac7-ddfb-471b-b53b-b3cf3c8fa17c	91e79452-d9e0-400b-9491-20c46f635787.FPKM.txt.gz	036543e97c4a899f13ef39838cd3143a	283019	CMI-ASC	6c8b33a7-3629-477c-9dc3-930eb34f1bd2	79d1980f-11da-4a85-a37a-6030b2f1a16b	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
4cec6a72-6b7c-4fd6-903c-44bd34f859ca	ad5cbec2-40a5-4979-9500-64d9bf92a02e.FPKM-UQ.txt.gz	dbdb24d3d21b0e7689c4b9d2d589bc28	371372	CMI-ASC	04c90005-025d-4ef1-93cb-0eae9fc6c2b2	737f9e24-ec1f-408c-9d5d-5a2f2f069cb2	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
d063d286-e594-4220-8239-89d5e53c898f	1302bc09-9a4c-4c50-86c1-1f01cfa527b0.FPKM-UQ.txt.gz	55c0a0afe1795861441005a4625d3a9b	358866	CMI-ASC	988f3866-78ed-491f-8782-6fd19d4525a1	882825fa-20ff-4796-a433-8d8a137cef27	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
553f1a47-3da5-4a96-b0d8-0ba2f38ae442	00dc0999-39b8-4438-ad93-3a862b9ed79a.FPKM.txt.gz	81f252411df34a0b35db670105e8f4fc	294249	CMI-ASC	f697dd43-6060-4ad7-a926-c4e391597e2b	d0273eae-bfb5-45f3-85dc-f18bd3387aa9	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
371c9bdc-94b9-4c31-aa24-f2b257338366	00dc0999-39b8-4438-ad93-3a862b9ed79a.FPKM-UQ.txt.gz	2f9032b06adb70dd1a2986a8e3fc37eb	366209	CMI-ASC	f697dd43-6060-4ad7-a926-c4e391597e2b	d0273eae-bfb5-45f3-85dc-f18bd3387aa9	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
a86f29dd-c10d-40be-a3dc-67dc3ab55150	21101ea8-c29a-4735-b8f7-a836967733b1.FPKM-UQ.txt.gz	d7855c36d371d9bacdf28ca9af108c90	340297	CMI-ASC	f697dd43-6060-4ad7-a926-c4e391597e2b	3864f5e1-6a02-41b1-9c57-e7edfe1b05d0	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
fb666cf4-ae32-43ad-be40-5283c8013a28	ad5cbec2-40a5-4979-9500-64d9bf92a02e.FPKM.txt.gz	26c908f1712f45472e88ab988a4dcc62	296349	CMI-ASC	04c90005-025d-4ef1-93cb-0eae9fc6c2b2	737f9e24-ec1f-408c-9d5d-5a2f2f069cb2	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
d4c0d409-c859-4bcc-80cb-4e9d0c6e7abb	ec7933e9-04f5-489f-83e0-5cab0dd3f52a.FPKM-UQ.txt.gz	0d2266e9c2ae0b621f931ddd4df1818e	349112	CMI-ASC	6ae85f98-59ec-4e4c-b1d8-54bb2717f42b	2efe3e4a-ce98-4512-a6d0-c19641c6084c	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
089f5ebd-768f-4656-b782-f66cb044e66d	21101ea8-c29a-4735-b8f7-a836967733b1.htseq_counts.txt.gz	fcd6a489bdb5d65a57bd62cddd24ad6c	232608	CMI-ASC	f697dd43-6060-4ad7-a926-c4e391597e2b	3864f5e1-6a02-41b1-9c57-e7edfe1b05d0	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
3df1a7fe-ae74-47f8-8b98-52fe16ed6063	6d8441d7-5f7d-49c9-935d-b80c24c522f3.FPKM.txt.gz	9ddaf817f754beda11b9accebda4ec01	257162	CMI-ASC	0b5ae7d7-b0be-4a6f-9841-042acdf442b4	ff748bdb-e659-41a6-b915-d657046713b9	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
aebfbd93-de0e-4cd8-bf4e-2df5bad41aa9	2e20de3e-6f34-409f-af5e-aa3cd3b27135.FPKM.txt.gz	17e9a567aa63513c0ee01ea20cbfea59	218730	CMI-ASC	fc774c98-c5fa-4ba8-864d-45465e55250a	45a117eb-af19-401c-be54-f26350dfa2da	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
93ab2a12-127a-4977-86f3-930182317898	2e20de3e-6f34-409f-af5e-aa3cd3b27135.htseq_counts.txt.gz	8f46aff41f2d74a13600a284d2c3ed93	199807	CMI-ASC	fc774c98-c5fa-4ba8-864d-45465e55250a	45a117eb-af19-401c-be54-f26350dfa2da	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
5c2850bf-fbfd-44c1-a187-fa2e91f6b27c	91e79452-d9e0-400b-9491-20c46f635787.FPKM-UQ.txt.gz	22a9683df795cc572ba4e024a30d7eea	346574	CMI-ASC	6c8b33a7-3629-477c-9dc3-930eb34f1bd2	79d1980f-11da-4a85-a37a-6030b2f1a16b	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
86176e12-9ef1-41ea-9bd9-848573103bcf	6d8441d7-5f7d-49c9-935d-b80c24c522f3.htseq_counts.txt.gz	8d093d75b108b93ffd56d68dcbbc85f6	225293	CMI-ASC	0b5ae7d7-b0be-4a6f-9841-042acdf442b4	ff748bdb-e659-41a6-b915-d657046713b9	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
da13fd0a-df63-4724-a2b1-96eeae93251a	ec7933e9-04f5-489f-83e0-5cab0dd3f52a.htseq_counts.txt.gz	061d44c63b72ddfa551fbe3bf83bad99	233534	CMI-ASC	6ae85f98-59ec-4e4c-b1d8-54bb2717f42b	2efe3e4a-ce98-4512-a6d0-c19641c6084c	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
67cb6641-e45d-409b-bb70-421cba4e4915	ec7933e9-04f5-489f-83e0-5cab0dd3f52a.FPKM.txt.gz	f92c405b6b645bd56de8e4334a000ae0	283521	CMI-ASC	6ae85f98-59ec-4e4c-b1d8-54bb2717f42b	2efe3e4a-ce98-4512-a6d0-c19641c6084c	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
dc1b4c81-8405-4d8e-9dfd-a726272ce636	1302bc09-9a4c-4c50-86c1-1f01cfa527b0.htseq_counts.txt.gz	41626317c62ffe03a9d4e763c9fcc55a	237391	CMI-ASC	988f3866-78ed-491f-8782-6fd19d4525a1	882825fa-20ff-4796-a433-8d8a137cef27	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
cda9fb66-42ef-4467-94b2-fb954db0e0f4	00dc0999-39b8-4438-ad93-3a862b9ed79a.htseq_counts.txt.gz	4c1f712ccf24cb62873f3bb5b46ca90e	243440	CMI-ASC	f697dd43-6060-4ad7-a926-c4e391597e2b	d0273eae-bfb5-45f3-85dc-f18bd3387aa9	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
