id	filename	md5	size	project_id	case_ids	aliquot_ids	data_category	data_type	experimental_strategy	workflow_type	new_id	new_md5	new_size
a8d77522-a20c-4b44-abe3-aa90f71e405a	56da66e3-6125-40df-ab97-007bb78da53d.genie.aliquot.maf.gz	ea602e3429501fe0a3816c8171970389	2069	GENIE-GRCC	faedf23a-ae1a-4098-9e2d-faebd60b2337	47f83a43-32e2-469c-93f2-49562423b6f2	Simple Nucleotide Variation	Masked Annotated Somatic Mutation	Targeted Sequencing	GENIE Simple Somatic Mutation	abc86f3e-522d-4dfb-9c29-5ba6a455bc05	f1f7ad0d1c2f3254629709d5958e9723	3445
8642b20d-f764-44f5-a1de-c21a449ff651	6e786ee0-7252-43f2-b455-3f12de2843e3.genie.aliquot.maf.gz	d881d91ae260f5c7cdf2eb557f20a556	983	GENIE-GRCC	9935f385-c860-45b4-aeed-a71f7d1360c9	dd8d922a-1fbe-4720-88b9-d1ff136d17ff	Simple Nucleotide Variation	Masked Annotated Somatic Mutation	Targeted Sequencing	GENIE Simple Somatic Mutation	ae82f1c9-3567-421b-ac30-718149c374c3	116681fc91687fbb1bcfe37ab7372422	1052
e189e499-19eb-4186-b3ed-ac1360393fce	76d0bc7a-2d39-4832-84da-4d8096773b74.genie.aliquot.maf.gz	d4f1f14038086c9e60cde0e307843660	1538	GENIE-GRCC	2212201c-9252-48aa-a413-3c1458601ccc	5748372f-9c97-4dac-8ec3-fcd67101a826	Simple Nucleotide Variation	Masked Annotated Somatic Mutation	Targeted Sequencing	GENIE Simple Somatic Mutation	4af20cdd-e3cd-41b8-8f59-404705a7f001	6bdf7a332268b577c49f5767c355d095	1706
fed7b4a1-7b1a-49f2-8ea9-b75f431ff0d9	78352740-f45a-4317-9abb-409dd4b12617.genie.aliquot.maf.gz	d7706562d188b1ac42abd3bc74dceb11	2342	GENIE-GRCC	a3606185-b3aa-429e-ad7a-bc6ff4cd6e0b	5fc5b990-a397-4a25-a761-9a89bebb5aae	Simple Nucleotide Variation	Masked Annotated Somatic Mutation	Targeted Sequencing	GENIE Simple Somatic Mutation	f88a758f-0d80-4431-8364-c89ec95b26cf	cacdc42401dcd4c8820fc77715ec92fa	3837
2d5cd875-a41f-4f39-bbbb-aa97ea9cd1ff	4aa71776-fe12-4d1d-9c90-af23202a3a67.genie.aliquot.maf.gz	6c3f2018d940292f2585a715f5d47362	983	GENIE-GRCC	d3256e65-3a3f-4135-ac4c-a5fe18087a00	8ef55daa-c328-4e77-bca3-ee18b252d29f	Simple Nucleotide Variation	Masked Annotated Somatic Mutation	Targeted Sequencing	GENIE Simple Somatic Mutation	a7ea6fe9-a5fb-4423-aca9-1e4d39acc93a	67a23f34ccc9a5baf2c7228e70ecf68f	1051
e60f31f5-9073-4ad4-9a68-c7d26d938dcc	e93e8220-ebdc-4a34-8592-3289a9853c11.genie.aliquot.maf.gz	c41534b909334317688ca4f89fc18266	1830	GENIE-GRCC	ce3d0c61-9601-48e6-bc06-f7c22710ba38	4b9a0375-67b7-4b8f-9420-09cb2db3b81c	Simple Nucleotide Variation	Masked Annotated Somatic Mutation	Targeted Sequencing	GENIE Simple Somatic Mutation	bc9299b6-64d3-4880-b5d4-43dcaf93ab93	14b47f7467a2870af40bbcc1b55e9764	2934
9f50b458-d465-485a-bf71-76cc71c3fc07	6453f688-e7c8-4dc9-a245-422d81932288.genie.aliquot.maf.gz	1ad7030bc02276c40263155a7be55514	1516	GENIE-GRCC	8e1c0cec-bf02-4bc9-96b0-a31bf9272858	60ac40c3-517b-4a9a-b8b7-a9cf94635490	Simple Nucleotide Variation	Masked Annotated Somatic Mutation	Targeted Sequencing	GENIE Simple Somatic Mutation	731bffdf-2c74-4d2e-a5a0-5e40a82fdb1e	2cde931a70d3a7336da685365c90315e	2147
721595ca-af2c-4604-93c2-c654844db631	3c045162-6dda-4b45-b489-f3a6883206f3.genie.aliquot.maf.gz	66cdac0b34e922221cab2be6327ff269	2088	GENIE-GRCC	e27879a7-26d5-45ee-8a03-f0cf1f35e886	773189f9-e34c-4123-a90f-821cc9b78cd1	Simple Nucleotide Variation	Masked Annotated Somatic Mutation	Targeted Sequencing	GENIE Simple Somatic Mutation	c10b63bf-8755-4b52-8b7d-a9d8d2166c12	5c775dbe04adebc2595a2b92dc8b175d	3658
314883ed-9338-4f49-903e-8f3876dbcf98	867297c6-d249-43a6-8838-5b0913dff718.genie.aliquot.maf.gz	1312080bfa5804fe2ee6b7cedf28b7cb	982	GENIE-GRCC	ed2514b5-c355-40c2-83f3-3414cb2d8e24	954a78ac-1b1d-4ab4-9d11-41cf6b60d1d4	Simple Nucleotide Variation	Masked Annotated Somatic Mutation	Targeted Sequencing	GENIE Simple Somatic Mutation	e0b352a9-5d32-4ea7-b821-9929c9177d1c	c6c9108f5b08307a1e05660120031805	1051
fce2fd4f-2fa9-45e5-8d57-31ea38c919ac	1ed65b4b-602e-47e5-a1f2-852271e02cbc.genie.aliquot.maf.gz	521378e58b04fecabc249f69d87119e5	1520	GENIE-GRCC	9e2d7892-1dde-4ab9-a7e4-5cdc2290467c	a97a7398-5a79-4541-a51d-8b69ed03b4d6	Simple Nucleotide Variation	Masked Annotated Somatic Mutation	Targeted Sequencing	GENIE Simple Somatic Mutation	5ee6bc28-e075-48f6-9031-f41466a01480	fb361b49503c2234a6d65bdccc378ae4	2152
