id	filename	md5	size	project_id	case_ids	aliquot_ids	data_category	data_type	experimental_strategy	workflow_type	new_id	new_md5	new_size
43e95848-8f20-4075-a170-d13f45128ccf	d27c84bb-d014-4fb7-9865-c2e155a5137e.genie.aliquot.maf.gz	8b3ece3821619e68b61168f14b16532d	2032	GENIE-JHU	d3d34951-01a0-464d-9743-9b67245eba12	5747e6d5-2bf9-4cdc-aacd-cfcdbd1b0243	Simple Nucleotide Variation	Masked Annotated Somatic Mutation	Targeted Sequencing	GENIE Simple Somatic Mutation	0718967e-dfac-4fd4-8ccf-8911384c354c	64d0e40e40d1569502e6c68723f9c89e	2277
8d960bb7-1f0d-4078-a873-ca15ff9b9fe6	3a024936-89d2-4190-9c32-9f39245d8beb.genie.aliquot.maf.gz	c1f19dc2a3f4002f15696e133fc18da4	2837	GENIE-JHU	57a2de91-4166-4b28-bfb7-6383d15da537	15d8e780-e3b1-487e-9a9d-bf5db7e242b3	Simple Nucleotide Variation	Masked Annotated Somatic Mutation	Targeted Sequencing	GENIE Simple Somatic Mutation	8fff4979-e620-4f87-8ab2-b93c9b614dcf	654152aee946a0e5a0a69cec2cb01ea1	5402
5c57bedb-9f8c-4b65-9576-2f93a825bc62	ea031774-f00e-4079-b39a-57117d57e857.genie.aliquot.maf.gz	75a867b4c7483261f4ff00efe2993db0	983	GENIE-JHU	1b049bd5-e20f-4e8c-8703-dd521ff6120e	77287dbe-b821-4de9-ac41-1704ea566b72	Simple Nucleotide Variation	Masked Annotated Somatic Mutation	Targeted Sequencing	GENIE Simple Somatic Mutation	f13fe7c9-35d9-421b-a016-892924c69806	d5b5439073d24ea1c401fcaca2a9c031	1052
1d8eaa8c-35ae-4426-81b0-13eb8bd61d71	3228102f-e4ba-4393-bf42-c5fae0408cd4.genie.aliquot.maf.gz	f528c2c74437f296c9f1ffe051ff13af	982	GENIE-JHU	b2ba5598-b86f-4d98-b3c7-ef5a65daeae2	5acba258-28a2-49a7-b7fd-36cbab2b9641	Simple Nucleotide Variation	Masked Annotated Somatic Mutation	Targeted Sequencing	GENIE Simple Somatic Mutation	85398360-ae2e-413e-b57e-63845e7ba201	f16d1e8eb64b014e01c4fe766a537caa	1051
73e21653-f970-499e-a272-55054bc38340	b5929250-8b96-4aea-bef9-e01ff1775912.genie.aliquot.maf.gz	b1f64d60025b7c05e672382bbe82c82a	1507	GENIE-JHU	75c5cfc7-e9f1-4470-a0fe-0dc056bbfcb7	02a507d0-67af-44ac-93d9-31e89f491117	Simple Nucleotide Variation	Masked Annotated Somatic Mutation	Targeted Sequencing	GENIE Simple Somatic Mutation	25748f64-1c57-40ec-9307-7631f14f30da	d2229134db15a62350449e984ab9e8bd	1870
bcf81042-3cf6-4eb1-9ffe-4a987041869b	a9bf7f3b-89b1-4c11-8fdb-d3bedfc0751a.genie.aliquot.maf.gz	8a0b2852f119b03aae3869c47f114b7d	984	GENIE-JHU	b1280fbf-ade9-4c49-a670-a9c656e804fd	9b772a8a-fb2c-4f19-b0d2-1b93d0b1db69	Simple Nucleotide Variation	Masked Annotated Somatic Mutation	Targeted Sequencing	GENIE Simple Somatic Mutation	64c49812-5649-413c-854d-f7b5ec5ff4ea	d10021eb31ddec3b7ee31c0a38e183c4	1052
bcbc5945-7369-4af1-8d44-bcae741ab684	36395418-3b46-47eb-b6b9-03064cac62db.genie.aliquot.maf.gz	11ec1e4e884de99401aea66bb0c5a911	2086	GENIE-JHU	ea843d46-0c86-4a73-8b13-eeabf466e30b	5c2afdb2-0f0a-4df1-bfa0-2560c0e71262	Simple Nucleotide Variation	Masked Annotated Somatic Mutation	Targeted Sequencing	GENIE Simple Somatic Mutation	90365db0-f53e-43f2-a48c-8d319c6452dc	12bcebc1de0399e4e8d5e38404b7312a	3624
35d59060-605e-4722-9509-0a30ad9cfa4a	40bf822f-2367-4de2-96aa-955e5c0f8848.genie.aliquot.maf.gz	36985a23ae592eaca98354ebd699c939	2180	GENIE-JHU	62934cef-5b46-4fe4-a14b-8fd32d1dd75e	7d0635ba-caf2-4c02-ad5c-5570e4d9dfc9	Simple Nucleotide Variation	Masked Annotated Somatic Mutation	Targeted Sequencing	GENIE Simple Somatic Mutation	77253c63-e759-4316-8a1f-95df71c192e0	4b79c5f066e6520f80d183a0042eef18	3584
b4990d35-83bb-4daf-962a-99578189af2c	33a7172c-3a6d-43fd-8815-5f12043f02fa.genie.aliquot.maf.gz	18ff8737b7c5e2b41c3f7c52d14defd8	1899	GENIE-JHU	1a558898-3928-4b48-bc6e-50ed99579fd5	1b2f8353-6648-42e6-8449-b3c66d28fc54	Simple Nucleotide Variation	Masked Annotated Somatic Mutation	Targeted Sequencing	GENIE Simple Somatic Mutation	91940c9b-9884-47d9-a3e0-677e6bc984a1	f009841d820c239e681064aef1db4bf6	2933
d0d1c3ca-6c87-40b6-918a-4c73f074050f	892452e0-411e-4c44-a0c0-44b092dc17f3.genie.aliquot.maf.gz	673b4c05d9b935139c26bfff070128b8	985	GENIE-JHU	c8c2c799-6375-4e3e-8305-6473fb484a57	97536e46-5622-42f1-a297-8b01b3d67541	Simple Nucleotide Variation	Masked Annotated Somatic Mutation	Targeted Sequencing	GENIE Simple Somatic Mutation	3b6cc0f9-4ba6-4a41-ac0c-3f8a823ed908	64a6375337e5e00bafb2c9ca34205d26	1053
