id	filename	md5	size	project_id	case_ids	aliquot_ids	data_category	data_type	experimental_strategy	workflow_type	new_id	new_md5	new_size
df5fb676-ad29-42b2-bc78-5579ad395151	25b91e71-425f-440a-8dbb-c53151be6c1c.FPKM.txt.gz	d9b3640ed5ef3944bc779191d55c5ef6	305758	MMRF-COMMPASS	d59c3a6f-f039-4d9e-87eb-804e4a786946	ca2da241-b4c0-4d2e-bb92-7c54b07ac00f	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
8b6071a0-e338-48b1-bb4c-802b9b71ae9a	da0c4311-33a2-4a14-a4b4-511cbc081a41.FPKM.txt.gz	77c138e837dd4b1b22bce738696491fa	303067	MMRF-COMMPASS	86144286-8390-4e67-9bbb-7d6fde5cc6eb	276a2be9-5aca-488a-ae61-59dba85f50ba	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
11baabaa-9f59-4519-a855-c48a7b0fba86	ccce7624-d72e-4627-812e-9713d0701ccd.htseq_counts.txt.gz	8afe0ab4709fe9954afca9e70214d4bc	244753	MMRF-COMMPASS	a90e9b42-dc3c-4916-ab66-6c967971cfa0	f4bd57ff-adf2-42d7-8d6d-aafd1ae0aab6	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
5351a391-9172-45d4-b2ac-ec8b068c8094	5cd4cd75-6555-45cc-9273-615b319575ff.FPKM.txt.gz	a5b3f4f08d769bb27af4605cb81a5f64	296374	MMRF-COMMPASS	26ff983c-83fe-46a0-a3d4-406e2110116a	8d42fe7f-a89f-40ca-9f44-c4c049e8a497	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
dedddab5-a0ff-4dd2-bc70-2f13552ea168	6c2be343-f1b9-4904-8da0-34d9292cbe7a.FPKM-UQ.txt.gz	6a46d2ba63ef47903b07515cbe8f0668	395229	MMRF-COMMPASS	6384a5a9-7dc6-48f2-80b1-acb7b20978f0	a3cdd4dd-5464-46e9-901e-a3664e3beb80	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
40ec1278-27d7-459f-aa67-31a2991c2cc2	40e8c3a5-39d0-4b0f-a8ba-827392a5ed4d.FPKM-UQ.txt.gz	da11deba72abd168e2f17efe813b5b19	376657	MMRF-COMMPASS	9153e4c2-37e9-4cc3-83a8-14d2cedaa819	613509e0-dff5-4c38-bf26-9b775a0e10fb	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
28324d0a-e1e2-430d-bb3e-57a52ba95669	a9f801fa-afaa-420b-aaad-918624b935c5.FPKM-UQ.txt.gz	3320b2dd1ec3401d3edbe3117d84943b	391538	MMRF-COMMPASS	ca26ccc6-86ac-4683-9d65-6c88e0198883	51c876b4-2fa4-40d7-9d24-30fe845a055d	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
800272dd-837b-4391-a07b-f721be1cdf45	3410bc45-fbdb-4a8f-be96-6a93e2610262.htseq_counts.txt.gz	1f54bbcc4c230a680acfeaa404255bad	242712	MMRF-COMMPASS	5bde0059-5b21-4696-bacd-825c2f489996	821b1f45-1ff9-45e0-b185-541639d8069e	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
9ca1e4f7-2cce-43c9-9b19-cdb7ff4a5d75	4cb6ab32-b58d-4b2a-9edb-a31c2bb77d09.htseq_counts.txt.gz	044694f29efc5615053998dba7ddca44	241283	MMRF-COMMPASS	999b54c1-4ece-43ae-ae59-14d76a33dbbb	f70512ff-0202-4f50-acc4-c29f467e78a1	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
a6d6ef2f-01d5-4e29-9b2c-66f36989b356	e6385b0d-f394-495d-b69e-2a78a530baf7.htseq_counts.txt.gz	8a62e374a843ae697347f18448052f23	246758	MMRF-COMMPASS	dc664f0d-1881-4961-a95f-b8458ade2d76	027192f6-f41e-4ca1-965a-a9ccf8d71f7f	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
bba8b86f-2a44-4df0-b62f-ae47d5d9d243	a1b64cbb-4c15-403e-b6cf-d9dc7f6aabee.FPKM-UQ.txt.gz	fec6624b0ff3b8eff52b1339bd6e1b7c	390313	MMRF-COMMPASS	b5d9c7af-3926-4a3f-a52b-9ae6e2255c5a	4a4689fa-c988-4d37-93d9-4cc9ff3b5a72	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
4590574a-b9a0-4791-b97d-660928961348	d97aa241-9b7c-41bb-8659-1e6730139419.htseq_counts.txt.gz	2b81cb0d0c8552c95c3b8241d0e7b8ff	247640	MMRF-COMMPASS	e41ed7e6-7832-41a9-b816-23986df22808	d3247e93-8eec-48ac-9670-22561f9202bb	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
e829e569-60c9-4e0c-9834-08861280e94f	202aeae3-90d7-4320-be31-bdc05070ff4c.FPKM-UQ.txt.gz	a1e9cd4605ca93dab54277764634d81f	395504	MMRF-COMMPASS	b0c9eb44-47ca-43a8-b1e6-5baeb2682369	7547b472-6bad-4f37-9cf7-3ac02a69725e	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
2736bf21-981b-4065-aa72-eec5278b71c5	f0a6e856-3ba3-4dcf-aad0-533c16209b7a.FPKM-UQ.txt.gz	383ad1b5dff2e872163813339a3574bc	381338	MMRF-COMMPASS	85ac98f4-1e36-4340-95ab-24132db58d43	1a1a8f58-32bb-449e-99a6-5f628d568251	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
f73e79cc-6ff8-496e-adca-0c7af09e7e7a	9548f02d-536d-4af3-89cb-88a204601f54.FPKM-UQ.txt.gz	80f2c192fe8c990e70e674059c9e00ac	368907	MMRF-COMMPASS	1a014df7-5b60-45f7-9194-3cc53c40ca28	0c79eb3b-97cb-4db7-a56b-97a740270a70	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
ea44525e-9246-456d-b449-4a05ea7066e9	9fb53eee-c041-4ec5-9c82-070a26951df9.FPKM-UQ.txt.gz	9e7dea85b6b6ba89732941263a127a0e	382275	MMRF-COMMPASS	79a3389c-279b-4589-aadc-4900c3e7638c	fba6a78d-d730-441a-9ff2-77bbae99e333	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
