id	filename	md5	size	project_id	case_ids	aliquot_ids	data_category	data_type	experimental_strategy	workflow_type	new_id	new_md5	new_size
25eae128-e551-4a3b-b585-7a980f38cb81	4656d1e8-4c94-48cc-b53f-9b8291931877.FPKM.txt.gz	9860f0e2f00b1a292fe0daee001fff43	299558	OHSU-CNL	82f5fa9f-412b-4510-91c8-060ac1087fdc	8151b2ae-7bc3-467e-a8d6-b1942e977c8d	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
92750f20-fb19-4091-8845-e59bef7d9dd6	05eeb1f3-4920-4bd9-9704-5e34ceaa3751.htseq_counts.txt.gz	6c14afe8ad6e4334d39d0023a042838f	241412	OHSU-CNL	82ae4907-1c2d-42fa-8c03-7f5ba711f8b7	964eba77-f5e0-409c-9554-c38821c9a536	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
69f3eac2-3e6c-46c7-8f0d-aa3dcc9e4128	c3e006b5-e5f0-4a4f-bf99-b556d22a999d.htseq_counts.txt.gz	1d0efec261ad27bddae5219774300e89	236216	OHSU-CNL	302fe885-23fa-4ca8-a785-fff2b8584dd4	f05ec5c2-2702-4f09-8565-8b388ce58db7	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
74e919e7-c5af-4f54-a52d-b37356ffaa72	5bfea79a-6cb6-4947-80c6-d640c5e5aed5.FPKM-UQ.txt.gz	4b527cfe96272526e4fa877b500105f0	367852	OHSU-CNL	1e01b135-a4c8-4f5e-b2f5-8f8ed7197f3d	868daf7f-451c-473f-a56d-e5d13b0b2b1f	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
4c16c037-7b14-46be-83a6-db2241e41d80	8540d22f-095f-4570-97f9-2ffa82d4a106.FPKM.txt.gz	e587e34b5215f042591fd56a4595280d	296326	OHSU-CNL	40df57a4-a666-409f-a964-9c086c262dea	020b3c34-872a-4def-98aa-78448b2c9748	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
7c27f184-b784-4cb1-b174-479ddbbbca84	5430b0da-56c4-4923-871b-bb08dd1cf39c.htseq_counts.txt.gz	9bf0e14a0711047025f781fcf9fa5034	243821	OHSU-CNL	a351444e-0460-4050-b7a4-c7184e2cb91d	c5860efe-9cb5-4dbf-a457-a635ca474534	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
b93592fa-1200-4eca-9cdb-4983e92e65d8	9a82cef8-7a2f-4941-bdac-f297fd602dcc.FPKM.txt.gz	ed5bef87cac5a347fc0b1515f4c2ad10	307961	OHSU-CNL	c00f9425-12a4-49e8-bb01-90adda123e4a	c9eae35c-d27c-4574-92ca-b77eaba982cc	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
18f08ae9-7738-4882-afb2-357e84c339d2	3892f8a4-7525-42a0-9e34-da86142de2b8.htseq_counts.txt.gz	013e54cbbe9b88c9bca41c1820750537	242437	OHSU-CNL	197dbe55-e455-48af-b8fe-8e183d885481	86b16f3a-7d74-482e-b48f-cc5e29609ce0	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
166260c0-0694-49ea-ab40-393770d0caa0	32abbaa9-9574-4edc-8bb7-831f7688d954.FPKM.txt.gz	e768671b563b069b86500f73ce696315	298626	OHSU-CNL	07a7c9d3-43b8-472c-b712-2021387545b1	da766300-836a-4d88-8ec6-aabaf3e079a7	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
54c7008a-acd6-4f70-8aed-45120aab8724	7a0a4256-d3b1-40c3-9b5b-5472b5bed2b6.FPKM.txt.gz	82bceb61f497edfa429ad7f0dc12ace8	296308	OHSU-CNL	b17a1441-edce-452d-a336-de6cecc24977	a3778a77-dd06-4c4a-a2a4-059572885445	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
7514eed1-83e4-463c-ae87-cc2ce5368817	9ad1a9f0-9651-4986-800d-91957845cd55.htseq_counts.txt.gz	62a43a4b16588cc537d641bf9e07373a	239731	OHSU-CNL	5a368512-57cf-4656-bbc2-8b3ab6eb9009	8948c571-a45e-4c6d-937f-5902cbf8ad4b	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
0bd2c17c-6b56-4073-94aa-b6ec4633408c	000c6318-cac2-483b-bd7d-95d4e251e64b.FPKM-UQ.txt.gz	19af6764f2c3833d719b427dca9229a6	351664	OHSU-CNL	f0510409-c1e5-4ddb-a205-f234fe586707	3b7d5c28-6094-48bb-82fd-728cf8812359	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
95c99864-6023-46b3-9b55-e9b1ddb61060	a5b8dbe2-f127-4cc0-b86e-80220b4efa5e.FPKM-UQ.txt.gz	f4eedd542d9cd6e40b53c1763840234c	365970	OHSU-CNL	c61508cc-d462-438d-ae4b-be6dc71c9d17	7dea3459-5b2e-47dd-bd38-6cc8ecc8621f	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
fa601401-0d6f-49e5-ba48-4cc7ca9ddfd4	d5f3897d-6634-430c-a5c6-412157362e6d.FPKM.txt.gz	e8308442e2e595f28112dfe4d8b8be95	285866	OHSU-CNL	bc0e24c1-ea5c-424c-897a-0727c3e9ac3c	df97e26f-fdca-4098-8d79-91c2ea488bbe	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
d0567ff5-5dd6-4835-b134-53bbf53944fb	2b5ce49c-4596-40a2-8b06-54df84972a63.htseq_counts.txt.gz	536e78409222c18b94a409eac534d629	244956	OHSU-CNL	60ceb7ee-6997-404e-9a81-7758ad18a5d2	4bed1a6e-b87d-44fc-a25d-6347befd2fdd	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
c8a5eb10-a441-485b-a93f-7c1a854e38f0	bab2b7fe-0065-4e1c-bea2-7317466f3594.htseq_counts.txt.gz	5ee4a1a645ae1f572ea761439fc6fd5e	242256	OHSU-CNL	821a627e-41f5-47c2-b128-ce565f3f546f	4bea63fc-7c10-421a-8141-eb0a9529bc34	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
e3b5e7d3-56d8-47d0-8e06-ecacdd234078	5bfea79a-6cb6-4947-80c6-d640c5e5aed5.htseq_counts.txt.gz	b9b9eae5fb0bf826cfb83ef4bd700dbd	240105	OHSU-CNL	1e01b135-a4c8-4f5e-b2f5-8f8ed7197f3d	868daf7f-451c-473f-a56d-e5d13b0b2b1f	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
54d79a04-5547-4584-9d1a-2b2abd8c4116	7aaf4c76-741b-4ba7-963a-a20572912a05.FPKM-UQ.txt.gz	30adfbda5fb8f1891bbb6a8f44c4ff43	381566	OHSU-CNL	47918609-ef35-435a-8480-329815a8a50b	cbb3b320-6c46-479e-98f6-c3cc2c6239bd	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
9e573b87-38dc-4313-ad8a-420a804800b5	fa02d1d6-41b4-4954-aa8a-590cd60a30e3.htseq_counts.txt.gz	9606bcf83aa3bedec3442ff42559c1c9	241607	OHSU-CNL	7dbf387f-26a6-43e8-873b-6e37fd695a21	0851cbde-1fd6-4842-93ff-b138658398b3	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
f4462da6-f7a0-4120-9989-631dbeeaf71d	58170f30-9dd5-43bb-8c7c-7f057fe98ddf.FPKM-UQ.txt.gz	2fc387640f73873c29b2b993a2c1ac42	366438	OHSU-CNL	35ce8e03-9939-4dd4-a0a3-5ee58727141b	99a04a33-6e87-4663-bc7d-4078a539927d	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
736d2598-09ce-46ba-bde9-6baac79c714d	f40eecd3-0e0e-4edd-9f2a-a99ae3e6c9d0.FPKM-UQ.txt.gz	eb837af346ad4beccdc419e07aa124d5	393917	OHSU-CNL	85e97947-ad21-4be5-86d8-cc93a5001d00	79bd1c7a-0c94-423e-8d3b-06ea3821731f	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
cd7d073d-525c-460b-acbb-c3aa77892e5c	abed3cc5-db1b-4566-bb3d-edf47f433518.htseq_counts.txt.gz	fc87befa09840a5c3c3c239e367e1986	247145	OHSU-CNL	91e97428-1654-40cd-bfb7-4bb2e27952fa	0c08746e-97c7-475a-8003-1c387e9036fe	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
a86e60e7-1ab8-438f-8e69-cfd85eea8745	8540d22f-095f-4570-97f9-2ffa82d4a106.FPKM-UQ.txt.gz	200c53da5de37c8e5141b731f30bd4fc	377532	OHSU-CNL	40df57a4-a666-409f-a964-9c086c262dea	020b3c34-872a-4def-98aa-78448b2c9748	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
5f0ca807-22d9-4525-9afa-f3cbd952ff95	b7b87243-b2de-44e7-9338-a6defc996145.FPKM.txt.gz	f507d3841ba92a4ffb7ec9204dc0a642	304733	OHSU-CNL	8cfe5eb6-2212-4c37-90dd-9a3dc13c74fa	75dfecf1-fa2d-4031-9a44-922c7758cee8	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
cd111059-eff6-4aa9-ac76-ed0a61089665	bab2b7fe-0065-4e1c-bea2-7317466f3594.FPKM-UQ.txt.gz	c5c2dd52983f4a7e5c28a1f8c7962bce	380662	OHSU-CNL	821a627e-41f5-47c2-b128-ce565f3f546f	4bea63fc-7c10-421a-8141-eb0a9529bc34	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
aa29979c-b549-4bd5-b038-6ebe3bb0f1c0	c3e006b5-e5f0-4a4f-bf99-b556d22a999d.FPKM.txt.gz	c8a747eec75a92570e974e29288ef5cd	288960	OHSU-CNL	302fe885-23fa-4ca8-a785-fff2b8584dd4	f05ec5c2-2702-4f09-8565-8b388ce58db7	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
061beade-4413-4c37-a809-182c72510c87	8257037d-668d-40aa-b6a3-930578d3440e.FPKM.txt.gz	34a20681fb8f580e78e913c9ea0a07df	298617	OHSU-CNL	49cb9f4f-18bc-42f3-8470-f3a862f2e108	c78d62bf-fb94-416c-9c41-d762d72ed7a9	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
2dfcd240-39c2-431a-b541-61ae8f334c1c	66d79b96-97a0-4e4c-8876-3789cf6c5b2d.FPKM.txt.gz	ddb8b5c5e3300e1e958acd884493a220	297582	OHSU-CNL	2f44ed5e-0802-43ac-a389-6b12b4e74e49	5e6947d0-965a-467d-a4c6-89f302d02c48	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
db9d8c08-8248-4564-803f-bad3ee496cd0	e90b57f9-d23c-4416-bf14-baa53c660034.FPKM.txt.gz	d9156ba145684e02f866f6d6e1829042	301482	OHSU-CNL	17e54a31-84c4-4d61-aaf6-5da3ad2c2124	2da6f7b5-23fb-419b-ab40-d1717c428180	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
6e00d04e-bb15-49fd-b266-827d9022ecbf	f2bb8946-b2f4-4801-8b79-1bb3408b5f38.htseq_counts.txt.gz	dba4cf71d36a7d4fa775c1bb0230a4e4	243849	OHSU-CNL	8b249a41-b71a-485f-ba12-e4d8ba872749	bd5b155e-af9a-4ed5-a8be-be42ff418c89	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
b5eb46ff-f000-4cfe-b6ab-ecc41ee76235	825075c8-e0c1-4736-a4e1-a69b7c2ad779.htseq_counts.txt.gz	99fed119eac10e420fcca6e3166f2ce2	244736	OHSU-CNL	71367525-371c-4b3c-bef4-a28a041b3c18	c2873b44-77aa-4236-ae1e-ecb082e1b682	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
ee1023b5-45d3-4417-8ad4-8e8309439684	9a82cef8-7a2f-4941-bdac-f297fd602dcc.FPKM-UQ.txt.gz	fdf9e2f71d07e32619fa456afe1ad0d9	396027	OHSU-CNL	c00f9425-12a4-49e8-bb01-90adda123e4a	c9eae35c-d27c-4574-92ca-b77eaba982cc	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
9d5861ce-7141-4700-bb1c-f4e4f4e05065	b9eb233b-b36f-4ba2-8397-dfefe763eb3d.FPKM-UQ.txt.gz	0519f83fbec989848f9ffe23a67e7262	366464	OHSU-CNL	b38a61a4-1a75-40e2-a770-46a39595d69e	14859942-dec9-4d52-88d3-6bd9673bccf4	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
5390d2fd-fa2f-4845-a736-f95e7ce28da5	2c878229-fd60-4798-a08b-2cbebfc271e4.htseq_counts.txt.gz	fe9ace5a4de485bea0c7514e92615f79	235873	OHSU-CNL	9cbe8b6e-ac3b-475b-a365-653afdff1e66	52ba1ebf-c851-4f17-89bc-cf68ef99fb3d	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
05007fae-8b5e-4e77-badb-af05338c5f97	3bbdb9d9-cedd-473a-aa84-edc9bea15a76.FPKM.txt.gz	304a08a2dd1cbd30b94121ac4b7be9b6	289726	OHSU-CNL	38bd3d39-f002-49d1-9ca4-eef8f96e9f8a	1314e0f9-a140-4e58-bf78-38a0ca4b971e	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
