id	filename	md5	size	project_id	case_ids	aliquot_ids	data_category	data_type	experimental_strategy	workflow_type	new_id	new_md5	new_size
2590d366-334b-4495-8a00-afc8c438ace4	92b136dd-230d-4e77-93ec-19f00b02894f.FPKM-UQ.txt.gz	fa2235bd3c43dda3ae7ec17c68037dd1	418792	TARGET-ALL-P2	9ba51f63-5fb9-5caa-98d3-ebe87a988f02	07c03c76-57c7-5826-b578-50b6c1702d2b	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
87360863-9273-43ab-b24d-1b332406b2b1	c2697627-d2a9-4e43-897d-f3ceb3c3d4b7.htseq_counts.txt.gz	1219b8455a2762782eed307ae2c55e19	260602	TARGET-ALL-P2	a0910c4d-d285-5be5-94b7-2118835a9afe	24e0f81d-5000-59e4-94da-84fa496f6151	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
9402965a-fa6f-4b81-b679-4bcecae33fd5	0ed2c5cb-d00b-4e77-86ba-70f96f64cc05.FPKM-UQ.txt.gz	d92a0737e18ce661ed58f2efa5a82b55	410939	TARGET-ALL-P2	618a7d75-7764-5c1c-bef3-9643c7ee9830	44437d19-73fe-4af7-8f61-d650f3482ad9	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
c5b605c2-448e-4e8a-a853-1d6f291f4a35	80d80028-b3a5-4d5e-a7c7-b64c0cacd0f6.FPKM.txt.gz	b230279a20b46a42aad276f08512b21c	318762	TARGET-ALL-P2	8e2cda0e-23ef-5d53-97b4-70b26b19c84d	0219c915-dc5c-4813-ae00-e44c909bb49d	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
55a20429-9747-4577-a1c3-53bb3bf9cd90	2910c609-0fca-40ab-89e0-70c44d4a59f0.FPKM-UQ.txt.gz	da36eb17da5819fbf7f85494fbe95096	367714	TARGET-ALL-P2	90c5ec44-4de7-5187-a965-78dfecfabc2b	e31bf1f2-54aa-52be-835d-637c0cbc41ff	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
5b419a55-b684-474d-9bcc-437b6a2b1f0a	fa091a03-dae0-45b4-89ce-66379047e95d.FPKM.txt.gz	d500cd16db7491870ed693251945dab7	321980	TARGET-ALL-P2	7fce205c-c2d2-5e5a-b88e-edd1ce5da053	ce738e94-d106-456e-9494-fd1ff9e628fa	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
ff9dcfe8-9526-4e8d-9c74-e3269400e726	55e79512-8730-45b3-b781-edc2a6f4ac6d.htseq_counts.txt.gz	b1ccd7fe97aab918fc7c27da5bcb7ad0	245485	TARGET-ALL-P2	a9bed3cc-7a8f-51ae-9464-f727a44fe327	bda528b3-2738-493f-8589-280e62375a44	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
4dc0dfae-a577-4e70-8453-832d2499600c	8d9eb882-cd7d-4d09-9c63-4acf0c313078.FPKM.txt.gz	7c0b6dcd671dc28359e233d1379e9169	333411	TARGET-ALL-P2	bf48c984-a46e-4098-ad73-ce6032931657	fe163e18-4623-4be6-ae67-a22a25ce9577	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
44d64af2-b8e7-4f20-9b02-a32199037cfc	cb5df7f9-e710-4fa4-94e6-f82d65d3ef18.htseq_counts.txt.gz	9c4e3200774d0c0f9c127943cd428dee	241692	TARGET-ALL-P2	a9cef9e1-d6cb-5b11-bf19-a0a561d4c047	222b93a5-c9c3-4be1-87a4-99a963fa7f01	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
c9fb98eb-1b10-4e97-b568-1cee7a143a36	f5fc954b-c3ab-4a47-84ef-839cf1675f42.htseq_counts.txt.gz	3a0a68fbb58c14bb36b26f21f89e56e0	245293	TARGET-ALL-P2	ba874704-b707-564b-b6c2-a1d25842c081	3d7f66b2-d3b8-463e-b85c-070c5970c33b	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
