id	filename	md5	size	project_id	case_ids	aliquot_ids	data_category	data_type	experimental_strategy	workflow_type	new_id	new_md5	new_size
85b5b6f5-04d3-4dd2-a3b2-a3b44237b311	3148fb85-e074-41aa-a6e5-7142048e232c.FPKM-UQ.txt.gz	c2ec4d75bd8ce9de6a33726e66710d6b	384397	TARGET-RT	30ba94a6-bd7a-5d42-add6-c007b37888db	db44c3d8-e774-52fb-b0b3-06fd8792a6a1	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
24747180-1c75-425c-910c-769cbc6f57aa	3f3a8211-d2ae-47d2-bf59-de8050f6c6d6.FPKM-UQ.txt.gz	c98db5c51570616cdde0acace472a269	393044	TARGET-RT	55fa68bc-1775-5fd4-8ec0-362690773747	8ea5f5cf-4929-547b-a5d7-a51a1a80b43b	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
0b4c75d5-1085-4919-ab53-2ee815a580bd	f42fdca6-1020-4930-84e9-7f1bfbee77a9.FPKM-UQ.txt.gz	2c688bed7d31f950e2f26ccb4c044796	379509	TARGET-RT	ef42d20f-5f3e-58c6-9d52-0a2aa48a162c	243b1138-f91f-5bc4-948d-198f18621cda	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
c8ce72ca-ca9b-490b-bb24-859d6eab9fc9	f9b0e3b5-931a-474a-bb1a-87120d1290c8.rna_seq.star_splice_junctions.tsv.gz	53b5863155be34bc9054381ef83e2084	140210	TARGET-RT	b12f8793-6f99-5a82-a821-a8be6c723dcb	e8364cfa-98eb-5f75-aced-e8faa8c43b33	Transcriptome Profiling	Splice Junction Quantification	RNA-Seq	STAR - Counts	NA	NA	NA
9c3ca9b9-1350-4cb7-9a59-808361f6a935	94489c50-bb8e-4fac-8873-b1feb44a675e.FPKM.txt.gz	099812a33f55eeba1e7a61ae0cedcb3e	305811	TARGET-RT	e4c16a18-930e-5c75-9292-64d29080aafa	2242b226-20ad-5c75-9531-9c4b05791fad	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
bb6954e8-7d35-4e2a-92f3-324b6f0909c6	8101fc7b-4c90-4f69-a9ab-3220cefad7db.FPKM.txt.gz	32ee197fe2d37ef865678dd87c7cfea6	314403	TARGET-RT	105d2431-78e7-5e34-b620-0b9d4fd9d1a3	52fc7836-057e-591c-9307-5ab50fa9c321	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
e6884fcc-790c-4315-aebc-662dd1c63521	44449d60-d9f6-4a0c-9728-d595f4fcaf68.htseq_counts.txt.gz	f4e5352e9b6ecc2740515e5eddef534c	254051	TARGET-RT	122eba47-a308-5c80-a332-06b37f12cc3a	c7932a6c-98c2-5c82-99ff-8d8113aca12d	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
4028dfd3-a13d-4f64-921a-13adaaeb611a	d1f3d549-92e1-4905-9a0c-9551fd12b6fa.htseq_counts.txt.gz	a265fab0545623a1411bfde0161d98d7	249032	TARGET-RT	51edacf9-41a8-5940-b84d-1f078dd0c9c5	213e6108-6dd7-5dcb-86e3-d5503cb7c2d6	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
1c660443-2f79-4365-9a18-2bd58ce598f8	5447dddd-2b59-4263-b9d1-cd26ad09d5cf.htseq_counts.txt.gz	ae8a8a132516a9763658111441c60c09	253190	TARGET-RT	1e1973ab-60fa-5bd1-8a97-f7b4e18482a3	839450a6-2c0c-5afc-afc0-e00078d801e5	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
481b4967-f2a8-4e6d-b614-3321649576cb	29cc766a-86f8-4de7-b5fc-56fc42be6570.FPKM-UQ.txt.gz	e0f0041999c9258d3b3da0600f07a394	409271	TARGET-RT	e1e96595-1e65-5548-a40a-b7a7332a846b	edb656e1-0250-52ae-99d0-2de81a98ccfd	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
d4e1290e-d993-4a3b-b210-427e4d8a7fe7	f5b81927-264c-46a0-a114-deb5f773a494.FPKM.txt.gz	5906b986fa1d98e3349944f05b2c1dc9	311617	TARGET-RT	87d67c5c-2764-55c5-b5e2-2fcea02e0251	45f50541-24fb-512c-8125-474c45b1e09c	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
