id	filename	md5	size	project_id	case_ids	aliquot_ids	data_category	data_type	experimental_strategy	workflow_type	new_id	new_md5	new_size
918e616c-c3b7-4119-8da9-234b9c645659	3a3637c4-1d30-4a07-bf59-b53c731311a1.FPKM-UQ.txt.gz	8367d93347f29f5476f82f850f93c689	409437	TARGET-WT	e744ce75-1717-5f39-a6f9-9681d095dbf9	49052dd6-029c-50af-b926-00805aef998d	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
90ca87d1-dd9d-479e-b2c8-b37552bf91db	a360eb7d-ec0a-4b04-b508-ee54161b6118.htseq_counts.txt.gz	244a0622b184adfd240eecc6a3817562	253648	TARGET-WT	64f0fd66-9e25-5b03-94ae-a2eb98424239	b143880e-68be-566d-97fb-e9a99fe60f6d	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
db5f1ebc-617a-47f2-9897-d6706e27d39b	93ac0a93-d3e9-4f6b-9a0f-66b98b7f9245.htseq_counts.txt.gz	677174146e13b18ee5604b2ebaaa7823	258585	TARGET-WT	cf4428a4-ddf2-5b2e-8be0-ffdb7d28965a	3678309a-7fb0-5611-9426-2be88c6bbb7b	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
5cf6e2dd-0422-4c43-8fe9-9c82e0e4d08c	25058bc1-e4b5-4615-ade5-fc5a4931ab7e.FPKM-UQ.txt.gz	a0f3c41352053546648a97491a0fd1e5	399369	TARGET-WT	b7dddaad-f48a-5ecb-98ed-b591727324de	ccdf415e-6252-56bc-b22b-03aab3c2a6e4	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
7901e23a-d8bb-44fb-9579-875af5a00e76	3bd3bc35-3ba5-464a-9756-08242f8cd7e9.FPKM-UQ.txt.gz	0a696b09dc8dbf78a907bde9b922340f	412335	TARGET-WT	a7239dcc-18a7-5c96-bb95-3b117e196e6f	133a2591-7b25-515f-b8f4-4eaaa81490d0	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
30f046e0-88ff-4da4-b0a0-d330b0a9a6fb	0ee8d221-9e03-4192-8cd9-9ffecb0012d5.FPKM-UQ.txt.gz	e230c04ea5065b5d2b3a9e1d246cdb86	415353	TARGET-WT	b92ef9b3-68f8-5b5d-becb-b823a0250b3f	0b9e71bb-71a3-5883-9159-673480a04b6c	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
c3438a2e-0321-4091-a0b8-90f1cfa5bf93	2ad213fd-6ca1-4ed5-9f0c-d0d3f420e000.htseq_counts.txt.gz	3edcd66a2c8156bfe079c6fdb939c742	254982	TARGET-WT	1707c969-73b1-54ec-875f-1b7a6fca056c	403d7a75-13e8-5e9a-8490-f8d1b53cc3f2	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
6ae2475f-2101-4e5b-9946-30f465c37256	e9b00be5-98ae-4da4-a752-dac2bac0adb8.FPKM-UQ.txt.gz	d17144920f3a96062ea7c69f0c0ee76e	402495	TARGET-WT	2702f0ce-d496-50cd-b4f9-ee82d0e8eb70	5c0493c1-875e-5806-8da3-0fe7677c4089	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
24cfe8a8-9373-4db3-8533-922a9b35ec8f	9331a40c-2daf-4c75-b237-1937c988a7cb.htseq_counts.txt.gz	0c633c9b9ef46430f0ec4bf081d8f2cd	256532	TARGET-WT	7ca67e09-27b3-5815-a5b6-9064a0bc732d	f71e3caf-a8f2-57a0-a861-af5daac2ef60	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
dcb52380-a637-4d7d-907d-35e7ccf38121	20a7308a-f498-46a1-a301-67ca39ec2c2a.FPKM.txt.gz	a85aa0d50f5becccbb8b93a5f7a3d5a2	308114	TARGET-WT	8e9627b8-82ed-5124-bc4d-93ef2c95467a	aec57a77-bdc7-5a66-8f85-72bf1660d3f9	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
