id	filename	md5	size	project_id	case_ids	aliquot_ids	data_category	data_type	experimental_strategy	workflow_type	new_id	new_md5	new_size
4bdfc26c-0634-4985-8e33-eaf452cb9e0d	af20afb0-8812-4a15-9eda-639562cab169.htseq.counts.gz	850fde304038367fa1786b33b0d1cc40	249712	TCGA-ACC	a19104d6-b6a6-4878-af2c-783679070a05	cc3d79b1-66a4-4f17-bdb1-c91ffab17037	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
b45a0c03-c64e-4271-9782-4f9eb5caa67d	427eda57-677d-4879-8e78-9c7f1c9cd9a1.FPKM.txt.gz	9873c6cecd4b41aa337812d448cbedec	504727	TCGA-ACC	dfd687bc-6e69-42f7-af94-d17fc150d1a1	83b02107-0c7c-450d-84aa-9ed4e1d755c5	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
0885b557-48ca-4865-b17a-f2e1f6209b81	jhu-usc.edu_ACC.HumanMethylation450.1.lvl-3.TCGA-OR-A5KO-01A-11D-A29J-05.gdc_hg38.txt	a43848e9c12cc893b6a9b0bbed377e7b	141300577	TCGA-ACC	b4b41a43-ee45-4aa3-abf0-100db752a6ac	fd233323-9101-4195-ba2d-934654c208ea	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
a5197c35-9560-4882-a221-e2392018f4ca	5a88fb2f-d26e-423a-a502-bc332094945b.FPKM-UQ.txt.gz	2fa32732bab51ae6b14c1e6224220368	518997	TCGA-ACC	48402d61-3a6b-4603-bfa0-b1a38a47d34d	d979c964-68e1-4ea4-a473-69b69cba8e5c	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
0874f4b8-5743-4b41-9b99-f02186c8b51e	jhu-usc.edu_ACC.HumanMethylation450.1.lvl-3.TCGA-OR-A5J4-01A-11D-A29J-05.gdc_hg38.txt	d960ea2d8f28de28ac74f165845d8a1f	141289097	TCGA-ACC	5f3e2974-f1df-47a2-8a8a-29bb525eeef6	6abdb597-d4a4-42e9-8e33-091e2b4fa901	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
eb588565-bf44-4a4d-ba8f-5e036c8ace82	dcf26935-b9a9-40fc-a6f0-7e0ef4b7228a.htseq.counts.gz	6d88d5238fb2e2ce0a1b107ee6be3bc9	251710	TCGA-ACC	2f04e760-8a64-49f2-a1d6-3d390604745c	2928fe95-b646-44a3-808a-36f0751c887b	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
9c0b7c07-235b-4e27-8c69-7942d172932b	jhu-usc.edu_ACC.HumanMethylation450.1.lvl-3.TCGA-OR-A5LL-01A-11D-A29J-05.gdc_hg38.txt	d16783553dfe4816b0160fe8be3ccf29	141286508	TCGA-ACC	0304b12d-7640-4150-a581-2eea2b1f2ad5	669b556e-ade1-416e-83b5-0736e2c2b756	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
769a1053-c79c-4a9a-95b2-e8a4d31ccbb6	643b7f6a-3bc1-46bd-8ca7-c127e04c0563.FPKM-UQ.txt.gz	b77e8306f7e95fbb3a8c0d6cd893e8d0	502997	TCGA-ACC	8b3649e3-16e2-4044-8ab8-f4d28a87e513	379e288c-fa30-460c-bb57-d3b6f09b1483	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
2c329656-09ae-4889-8283-ce519a4abc15	591900d8-1acb-4a33-b195-6f7a92b9036b.htseq.counts.gz	4326b344297841bead9c3a0e420c2338	253196	TCGA-ACC	9ec86c06-e7a9-4ea6-b36d-6f832909054b	39336e11-24de-43be-913a-c764310d1eee	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
0b50ee5b-3130-4401-84b1-630596632a12	be58e260-25a2-40fc-878f-cdf095908383.FPKM.txt.gz	f42734c422294f7d5f19dd7c3250377f	495978	TCGA-ACC	5eb5ee1f-ecff-4427-b717-b91380c043ae	69d7a879-cf23-44d0-8a44-050b7a3f4b03	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
