id	filename	md5	size	project_id	case_ids	aliquot_ids	data_category	data_type	experimental_strategy	workflow_type	new_id	new_md5	new_size
3aa46429-70b0-4026-87e5-0da1762d54fe	f6b9d070-6d11-40f3-9ca0-a20779091825.FPKM.txt.gz	cc65e71c5d7b81502e40a09f84cbbe69	516825	TCGA-BRCA	aba5f46a-e67a-4cd2-9c52-c0686968ff04	2aac1ce6-fc3e-474c-9e0e-5a6d05ff9168	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
3bf8a62d-d2c3-43fa-8a5c-e8c483355b60	jhu-usc.edu_BRCA.HumanMethylation450.15.lvl-3.TCGA-C8-A27B-01A-11D-A16A-05.gdc_hg38.txt	e6e7088746aa39d4a42573260f67da14	141283539	TCGA-BRCA	f0d8a1fe-e313-44f1-99cc-b965cbeeff0e	13bbe48f-75b4-4d5f-8dc8-d30ffdfb345b	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
e7d81e78-c110-49e3-820b-a07a73b0cfef	8dfe19ae-aec1-4de5-9b94-1a48c05c11c5.FPKM.txt.gz	1eb5d42ed1448707faf98090213bed95	536462	TCGA-BRCA	972447aa-4332-47e7-bddd-2eb699dbb664	3e57b40c-7079-4f05-bf37-f560304966c1	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
9c6ba682-ea2d-47d6-a8b8-65e68e8b0a7f	jhu-usc.edu_BRCA.HumanMethylation450.3.lvl-3.TCGA-BH-A0DS-01A-11D-A10P-05.gdc_hg38.txt	39dd0d22b579af8f6e8288d39ee80cae	141261914	TCGA-BRCA	fb57c598-b45b-478a-9d34-ca1f050d5b7c	91a91f92-6ce7-4545-9573-1d1f6b28946d	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
af3b9b92-fa7d-40a3-a738-76edb9521701	68b3162f-a77a-4630-a64a-26a33a2ecb12.htseq.counts.gz	6bfb872fc6dd6ed148af5a2a6a7c25f2	259159	TCGA-BRCA	f1692f4b-ce1b-4fc5-ac55-1022ecae0d1e	d96863aa-33a8-43bf-a9b5-589de1e9cf44	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
397e06d2-e1af-44fc-b1dc-66f76189126d	jhu-usc.edu_BRCA.HumanMethylation450.23.lvl-3.TCGA-EW-A3U0-01A-11D-A22B-05.gdc_hg38.txt	295a1e53b4e860092bc22863bf384d68	141284009	TCGA-BRCA	d9dc3b59-613d-469e-8b4f-6c5a557eb26a	356ddeb7-68e2-4e16-a4ca-87f34db1b8d3	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
ea9bf46a-39bc-49ec-86b6-69f7e9fde815	892b14a6-b2b6-4860-a7fc-f65beac8530e.FPKM.txt.gz	15a3ddf956be2bb0b87d82a537182e30	515191	TCGA-BRCA	665dd3d3-779c-4abd-b5d7-13342340451d	a8884443-832f-45bb-96a0-dead699cc7e3	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
dba7c6d8-e113-450a-94bc-ab55da01eaa5	ddf98c57-1c48-4277-8a49-c74f52141723.htseq.counts.gz	2545b08f72fb12b7cb38d80611a4d229	251873	TCGA-BRCA	9536bec0-dae0-4d63-a1b3-956741835243	542bb107-1b0c-4ace-834d-9e32ed82429c	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
650643ef-dfb9-4822-be02-a65e648da6d4	jhu-usc.edu_BRCA.HumanMethylation450.14.lvl-3.TCGA-BH-A208-01A-11D-A161-05.gdc_hg38.txt	61361f4f4f944fd47c001449aeb3f5ff	141292049	TCGA-BRCA	ddcbdac6-9e43-4146-a611-d033125eba14	3263accb-e6c7-4884-944a-6c5e2e18481b	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
1983237e-9c03-4bc0-bafc-0f73907977f3	ecbe1717-b6b7-4359-b723-3bfc81c82f2d.FPKM.txt.gz	dcc60c98509bca155d78cbb93708ca64	533139	TCGA-BRCA	5fe3c51f-65e2-4da6-8924-a6fae17c022d	000d877f-8d03-44bc-8607-27b5ba84b5fe	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
