id	filename	md5	size	project_id	case_ids	aliquot_ids	data_category	data_type	experimental_strategy	workflow_type	new_id	new_md5	new_size
29904087-3d33-4bc0-b800-567ea595c47b	0ab7a8af-1cee-430c-9b5e-d122266e043b.FPKM-UQ.txt.gz	e518e1146792d274e5e8dcd953936c98	512069	TCGA-CESC	6d01421e-d533-4967-8422-97fbc0fb0895	78f72cda-30eb-41f6-8713-795ced251abb	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
39d88bf7-e217-4c9c-96ed-80e1aa20ef0e	3d3ff298-ca83-4d1b-aaaa-954c9d5ab67a.htseq.counts.gz	b0a304684c569efd650734bfbdc0d8f1	254678	TCGA-CESC	d07d0a56-a25e-426b-8384-9d49e6545527	6878010a-30d5-44ef-bd70-99f532a584d5	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
4974f69c-603c-4561-b893-2f0e11527ffe	5dc9357d-68e0-4696-9ebb-0a8fb34aa87f.htseq.counts.gz	567bbb98e10a73578606f4fb4e36e2c6	256532	TCGA-CESC	7218aa6f-3345-484f-a329-a3b6169a67c7	aab8ae6f-ae54-4203-b2e6-2b86b9ca0337	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
86fa7d6a-91ce-479c-9372-8e6a582c952f	7979b712-a4cd-45f5-89cc-14851dae9088.FPKM-UQ.txt.gz	7e6e1f3d9e69d528960e1c10cfcc0037	522477	TCGA-CESC	6a18d184-d3a2-49c2-bd4b-9c18f91b98c7	6b9951d1-1bae-4c66-acad-c6c618d5387d	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
586aa4db-f41a-495b-a9e4-77eac618be47	0a66b543-fdfa-4aad-97d9-8e1e5e9b165f.FPKM-UQ.txt.gz	2baf094b0f627940b0ac315f25e35886	504100	TCGA-CESC	c996cffb-8132-4973-987d-143274b6a081	6c6c44ac-3626-482e-8d33-adbd122f8352	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
30376b0e-6161-4434-b02f-d9f65e08255a	de63bd5d-8a20-46ff-a582-7950fd90c38e.FPKM.txt.gz	c4e824fdd16896a7fc81fc5a9fac7d75	519845	TCGA-CESC	3143822c-66c4-4b58-8d29-e92d065ff049	7a1f4f51-4bea-4e5f-b59a-02fb223d2965	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
2b400484-707f-4d01-a29a-7f6f22f4afb4	jhu-usc.edu_CESC.HumanMethylation450.17.lvl-3.TCGA-VS-A8EI-01A-11D-A37Q-05.gdc_hg38.txt	2ae5ce131844e18eee20f9dba471b148	141252437	TCGA-CESC	7b228c3b-e604-41a1-9b76-8dd3d5a59ffe	00edb826-8b89-41f2-a5c7-b5ee3b7fdb4e	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
a70b2e71-cd42-4ab6-b4dc-1392b91854b5	d655cc66-edd8-4470-89ca-ddc2060a4bbb.FPKM-UQ.txt.gz	7e8eb849f07d9c2239911f9ff5ac77f9	526258	TCGA-CESC	ffd8d31f-bc4b-4e19-bbaf-0e26e9f3a107	7f3a2afd-ef8e-4035-8fec-8dab2b53672c	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
5aef9339-fcbd-4e4f-9e18-34a35a1a6c9f	jhu-usc.edu_CESC.HumanMethylation450.9.lvl-3.TCGA-DR-A0ZM-01A-12D-A10W-05.gdc_hg38.txt	48d6cd2c557ab78b2ec9eeb259c55ad1	141281619	TCGA-CESC	748aada0-448f-4523-9893-3d9618fdbe18	025c6e3e-a7f3-4349-9cb8-a4165dc18c7b	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
89ce544a-2029-48bd-b28c-e8a1b26d34ce	9fc4c3b5-c1d4-4dc3-8aa4-1f06901c1f65.FPKM.txt.gz	e3f7fcf1c65238efa1ff2067e3a23425	512718	TCGA-CESC	c99f476b-e8b1-4cdd-9164-0da450064886	729d243c-73f2-42d2-8737-55275a062a8f	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
