id	filename	md5	size	project_id	case_ids	aliquot_ids	data_category	data_type	experimental_strategy	workflow_type	new_id	new_md5	new_size
0f02605f-3a91-48d8-8fe7-a14061ac0d5f	jhu-usc.edu_CHOL.HumanMethylation450.1.lvl-3.TCGA-4G-AAZO-01A-12D-A418-05.gdc_hg38.txt	53b6a59af71c4b61e10f7e70b5e94c6c	141275002	TCGA-CHOL	0775583e-c0a0-4f18-9ca2-8f89cedce3d6	1ba92c23-02fd-4338-ba81-da6057dfb502	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
35e4563b-d264-45a3-9337-b92cc41f0128	8f00d52e-9dde-4594-87a1-8946bc7fb438.FPKM-UQ.txt.gz	28637c4933df6e9fb461d13d9b71808c	493841	TCGA-CHOL	0775583e-c0a0-4f18-9ca2-8f89cedce3d6	f36ef26a-5c56-422b-bcdf-4693615d026b	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
cce042e9-11b7-4edf-a280-dba67d5a90a0	be5bc6a0-9720-47ac-953e-fa8d0c32cd82.FPKM.txt.gz	032f88747f9dcdf3763c3da474ae2256	484820	TCGA-CHOL	f2d42e03-ca8d-4b57-ae39-0cc8f37b1b67	b8dabef1-a207-4c40-bf80-d61ad7dbf571	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
13041784-c526-41a0-83a9-339075728ca6	36efaf00-cc8e-437b-893d-6dcec1328022.FPKM.txt.gz	7cdf49cf656d6dac02edc79343cb8e72	495368	TCGA-CHOL	adc9a685-5b4a-4c29-881a-da1895c47520	84e6718b-08c9-475d-906d-045e8f5477a0	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
a10111ea-7dd0-4282-9887-34ec0c4c5a10	8b20cba8-9fd5-4d56-bd02-c6f4a62767e8.FPKM.txt.gz	df9450e8b0b1a755da209ba3db665702	512724	TCGA-CHOL	ff4131c9-537c-46cc-b495-9af60d431f5e	8c8d5e98-023b-4496-a237-2632c609f627	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
13921de8-8580-4f26-88bb-49f71ea6e103	fbc4ffad-8a22-4531-8a3a-5761f40cfd82.htseq.counts.gz	4621489cc07a5304b1825633e7b86b64	251908	TCGA-CHOL	4290b3b3-94f6-43e4-8309-430dd973ae2d	015b2409-ca2e-4141-8266-fe619793761c	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
49f046be-a153-41e3-8da1-0918ec029fa9	39fae157-a126-4635-a212-137065a398f9.FPKM.txt.gz	7c34b11c105d454bf239e06459fbc8a2	515136	TCGA-CHOL	bc15cec4-1f82-47fe-ae69-3853194fab7e	b0ada585-0834-406b-b02c-b06c171882ff	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
0a8c0f60-3850-48ad-8e93-8b107b7251a5	38c31608-d1ad-4eb2-96f9-924f6a8d3219.FPKM-UQ.txt.gz	9cad57c66ae5a378657a4440803f857d	520188	TCGA-CHOL	9d9109f5-5917-4126-8e34-8a7e4632e913	f7f581cf-3c93-4eaf-9f10-299006f058ce	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
05d8aac6-d53a-485b-9d06-674501e96274	jhu-usc.edu_CHOL.HumanMethylation450.1.lvl-3.TCGA-W5-AA2W-01A-11D-A418-05.gdc_hg38.txt	22761b47e8dcdc4a1de79c9a75c2900e	141281134	TCGA-CHOL	1d136284-bdf5-498e-9506-4893801a337c	66ae082d-9ee6-48f3-9102-3f2cd730e830	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
a915ba3c-986f-4f15-847d-7880bd35d324	faac986b-ed3c-4547-a4e0-387f2d4d63b0.FPKM.txt.gz	3baf094f9665d8d45bc9fb0003a8994d	518352	TCGA-CHOL	f47dbd99-920b-4b39-a1b0-6c152ad24884	60f80712-30c2-4026-9853-9733f641c05f	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
e4e4df95-84e9-4811-9ff9-d3bf4f3be116	908d56cc-fda7-431b-963c-e8ca753f5561.htseq.counts.gz	80b86dca2198ca1b03c4995a59b970f4	241890	TCGA-CHOL	20bf79af-3b0f-477d-b619-5597d42f5d5e	2649a2ec-8bb0-486e-9eec-ac9c76021b60	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
