id	filename	md5	size	project_id	case_ids	aliquot_ids	data_category	data_type	experimental_strategy	workflow_type	new_id	new_md5	new_size
f2cfcd49-e3ce-45ba-aa71-42817ac7e1e3	8bc4505b-bcb8-470a-bc52-2b8f6a4cb4ae.FPKM-UQ.txt.gz	39ca7fb1de79da9dede599a2f4026aa5	563281	TCGA-KIRC	9d202594-7697-443f-a1ee-d8e7b28ecb8f	8a1167d8-5eb6-48e4-9fe9-b75cc51c56de	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
bba31165-9383-48dd-b2f5-22071e53a31d	7a43da66-e219-4bc3-bddb-ef014247039f.FPKM.txt.gz	fa6254012b545a5da584a8907ab58420	514182	TCGA-KIRC	883c37e2-c723-45d7-9e25-082d1bec34e2	fcd2ab38-57e9-43bc-83f6-70234c91ca89	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
5e1d88cf-5d81-4a90-a697-5747293ac63f	74c84a22-7165-41f7-a38f-ed2db790ca2f.FPKM-UQ.txt.gz	5abf303d87f7dc6ee7b0be454c0b10c5	520545	TCGA-KIRC	620baefa-db8f-4af9-9101-4b9b252fa73e	e3bf3a11-d3e5-4596-82ca-64833bd3f841	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
062d1b72-1d64-42d1-85d4-93e35f11a2b3	f9b34a21-993b-4eb7-a383-5cd41cd56ab9.FPKM-UQ.txt.gz	9eb9eb885f0b6a51e9355696d229add3	562680	TCGA-KIRC	1e758394-67fb-45cb-98b0-5082c396d697	e91714b9-a646-4690-a1ca-1354d40dd2bf	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
234b072c-803d-4776-9bd5-aad2f27ce136	jhu-usc.edu_KIRC.HumanMethylation27.5.lvl-3.TCGA-B0-5088-11A-01D-1332-05.gdc_hg38.txt	4dd1c283b1be03869fe524406b85c18f	9951925	TCGA-KIRC	0022478c-4dfd-4cbe-a05e-fb20310844e3	dc8181ac-779c-4b34-8a93-09644b0f7227	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
e204056f-ae10-4c83-a97d-db88e3203afd	3ff465f0-6c58-41eb-bad1-15bd5cd80531.FPKM.txt.gz	9d78808153a5f1afe43611402e855f56	538155	TCGA-KIRC	b3a9b0be-2ccb-4e55-b72c-3f218ca46a3e	a2adfb0d-eee7-4400-b252-1f782e5a31ff	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
f9c2af24-9bfe-45e9-93fd-dee0fcbfec70	e85334ba-9c09-4725-953d-8b149837ecd9.FPKM.txt.gz	a7bf90a8aa5c8f97f70c65c72b1551c0	514818	TCGA-KIRC	78ec8bc9-e502-4f5b-b0f6-893718650352	1e7a1b9c-d1eb-4156-baea-bd70a03927f0	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
44e6e2f3-284c-4450-b95b-8783fbbee2d5	5a715f75-afcd-4255-bbdb-9eaf756a5944.htseq.counts.gz	208476a05b8cdfddd776252b9c04a34c	259449	TCGA-KIRC	26cc2c84-aaec-4cd1-9c45-dd08d372128d	8fd23c34-d9f3-4968-90ee-64565b36ade6	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
208df75d-388b-4aba-8456-04fb506785cb	98d62da5-20c1-412a-a75b-9e004574b7ee.FPKM.txt.gz	bbebe6c5b38f0cf98455b97a4acd5bd3	468253	TCGA-KIRC	fa543627-9e3c-4af9-bb33-f0cdd9fbc9cc	4ddde480-db18-4320-926b-6b846347deeb	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
61b6e107-7094-43fd-b753-e63adfda92cc	15ab4d09-8a85-4d6b-91b4-a87dcb7a5919.FPKM-UQ.txt.gz	f61074df1dd74ceb7af2d350984da2d2	509037	TCGA-KIRC	844d8b94-59b0-4787-97eb-474e3aa3e022	7191a1d9-317b-465b-992b-4f84163ad8a0	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
