id	filename	md5	size	project_id	case_ids	aliquot_ids	data_category	data_type	experimental_strategy	workflow_type	new_id	new_md5	new_size
3568a939-0eac-4784-8649-13a55e4c2b2f	jhu-usc.edu_LIHC.HumanMethylation450.18.lvl-3.TCGA-G3-AAV6-01A-21D-A36Y-05.gdc_hg38.txt	828392d03199afa935a14834ebb1886e	141294182	TCGA-LIHC	a6733fa1-030a-45ed-9c24-0e64164d4998	4e88a185-fbf0-4659-87d2-a914261dc9b3	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
231e396a-d5fe-4c5e-9844-e4af6c058d39	a5d93423-8bf0-47df-be23-beb6fd481b29.FPKM-UQ.txt.gz	dd03c9c3d718355f7858e2f2c33c4934	477104	TCGA-LIHC	fbb0e4bc-5398-4a7e-963c-86ea1108a2de	5be075bb-9fa0-4821-8e61-672f28e2b833	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
710db014-c007-435e-8427-2d93a93f0e84	jhu-usc.edu_LIHC.HumanMethylation450.1.lvl-3.TCGA-BC-4073-01B-02D-A132-05.gdc_hg38.txt	b74dd1b3108403f0e7c47eeea1114cdc	141299728	TCGA-LIHC	00f209c3-041a-4c6e-8b0f-6383eb3c85fc	644596a2-4268-42ad-a605-4523f3446689	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
71ba050e-9767-4ffd-8b50-5dd373551d97	101685f2-3131-40b2-9aa8-6458f0388b04.FPKM-UQ.txt.gz	58e6d77b47eb8a4f2962138de50899c6	501496	TCGA-LIHC	023a1ad1-fb16-437e-9806-5063b47f76bd	edc609e1-c791-4d5f-8ca1-272ce9b34289	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
de14d434-ce8b-4e02-a1f7-c2208baf8b69	jhu-usc.edu_LIHC.HumanMethylation450.5.lvl-3.TCGA-FV-A2QR-11A-11D-A20Z-05.gdc_hg38.txt	609a00d35940a4d8d6bc63520cfb06bc	141288265	TCGA-LIHC	d3a03f7a-3482-4548-957e-05c692b20101	dcf562bf-e247-456d-8166-8af78e811373	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
8a33f791-655b-4ac7-8c39-86b02b11c753	89eb1fc8-6b38-446e-a4b0-fb9c520298dc.FPKM-UQ.txt.gz	0a95b288075c528a478e9cfcbc3bf968	510348	TCGA-LIHC	08cbbb39-d05a-48b0-a966-5212c5923c8b	7796772d-d52f-4909-ae88-e961e827c962	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
ad6f492d-652b-4618-b3e3-831e60735e18	b249613a-e4d8-4b85-9796-f056baf02018.htseq.counts.gz	7549f2abcb420e07424c4c4c13876e0c	245143	TCGA-LIHC	1724c96a-2aa3-43d4-992a-08af948c0f45	5d587eff-228f-49e0-a132-da031a81ad0b	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
987c3c7a-40a1-4146-a5d9-ece7056ce0f6	b9882fe3-d5a7-4563-9380-33b958f81bb2.FPKM-UQ.txt.gz	8de7f07d65b16fcc650bfa8f955a5605	488142	TCGA-LIHC	496beef9-80d9-4734-a23d-334ae1b6aaab	3c6ca697-64ab-43d8-99ab-10ecbc0e8313	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
3b68d753-864e-4e53-89eb-bd1cfdf2f7ca	ff8776f1-5499-459c-989f-0bc5268e6631.FPKM.txt.gz	95b9da7e2a5de02bc9eb2a42c4741d18	497610	TCGA-LIHC	34303cdd-c31c-4b95-9965-2a5513dc322d	920735ec-0932-408d-8132-8a30ba8aa160	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
6a8255c1-a9f4-4e0c-b27a-d192040ac5f5	7a3a131b-883d-4f82-8b3b-ede7733f68d8.FPKM-UQ.txt.gz	a2e7f39e0152eeb67652cdc94734dee8	497560	TCGA-LIHC	52292ffc-0902-4d97-b461-20723987a177	8e48cff2-5edd-4ce6-9531-5dc594ae78ff	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
