id	filename	md5	size	project_id	case_ids	aliquot_ids	data_category	data_type	experimental_strategy	workflow_type	new_id	new_md5	new_size
d51373de-d866-4b63-a941-d162c438c1ca	23a15223-f74b-4714-b62c-67a54d242652.FPKM-UQ.txt.gz	42da674bc669cbb5ea064cb6e8b66deb	531068	TCGA-SKCM	29bcb876-5a91-4d56-af47-7b4c856c151f	22b2c106-e714-4289-bdfc-a9933f055023	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
20a5a48f-8d9a-45aa-8933-b0b648cb2b8e	11dacb6b-6600-41ba-852b-ff81556458e3.FPKM-UQ.txt.gz	726714d05012718e8bdd689e72e64e95	511055	TCGA-SKCM	14407399-b1f0-46bf-9179-8bf11c39d919	25f18340-6e6a-4d7e-a8c8-51466d436794	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
cd4e95a8-8957-42b5-9c9e-53446a175ad4	jhu-usc.edu_SKCM.HumanMethylation450.1.lvl-3.TCGA-DA-A1I2-06A-21D-A19D-05.gdc_hg38.txt	d64fd7b596f6e79445de35d1991dfaa9	141294387	TCGA-SKCM	01ad975d-c2ed-4e4d-bd3b-c9512fc9073c	6d24bb8e-f255-438a-a85b-365dd79c4162	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
e1e671d2-6cf2-440b-9518-752fbdd003f5	90994cf0-763d-43a4-980d-6c8c5ff24dac.FPKM.txt.gz	4fa4c93fce39d8a5a2502ebcd64a7515	500424	TCGA-SKCM	81807b84-da9c-4847-a303-5a8c7297127c	e1d52c4c-7521-496a-b91d-3facafe4716b	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
fe65b19b-8ec1-4cb2-b6ab-eeeda3194e66	36a3aefd-df64-41ea-a4cc-00b2dcd017c9.htseq.counts.gz	61c276707a5316b33428e94738ef0d4c	250373	TCGA-SKCM	ee08eda6-033e-403b-a26a-747b118ae897	5c49d176-0f55-4312-91f9-32457304966e	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
275c2704-9c65-45bf-8d9a-ec373534e0e1	cfe24c0a-1d21-49bb-8279-838a4f059e8a.htseq.counts.gz	7cb79b9e56184f3ccf5751a38810e681	243137	TCGA-SKCM	b2fbea07-eede-4ab1-994a-da26583a5106	5a1b46dc-3819-4e1b-b5e6-a4240da025a8	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
a3311a66-2e89-492a-8c0f-00b81c92ac59	d864342f-43bc-4874-9d68-d3e4b886fd8d.FPKM.txt.gz	32f75e138b1f79c2d4801309efd07cd1	500397	TCGA-SKCM	ed471051-41dc-404c-87ec-db4a281ecfb5	2535f39c-5024-4596-8e96-76ccae28e9ca	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
4200258d-0f58-49b1-9376-2fad093aef23	9737b044-f037-4acc-b8cf-78d6d897917c.FPKM.txt.gz	0f1c79e10c791bf4fc7a2bf9bd54058a	508482	TCGA-SKCM	fd1a49f2-fb3b-481d-888e-f4224d59f6d1	1b970dc3-8bf2-4b48-8631-d9d61b05535d	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
55fe3048-257e-42a2-aa49-7a00ba0e751b	jhu-usc.edu_SKCM.HumanMethylation450.1.lvl-3.TCGA-EE-A2GI-06A-11D-A19B-05.gdc_hg38.txt	f85f725eb4c32be57a2bc626666719a8	141258810	TCGA-SKCM	b4079a49-bb11-430a-9a1e-19bd46d87fbe	35a4b6fc-a5c2-4f86-ad08-bff49d4a87f9	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
cfe8d39f-a5b9-4cb5-9e13-989ecbeee75e	5b4d43aa-174c-46ec-945e-f8da20c1cd70.FPKM-UQ.txt.gz	054b7bed6d4eaeaf2ff5705976bd5d27	510746	TCGA-SKCM	58f0ae89-e277-4dff-bb73-777cdf602dc7	0d53cf3e-63d6-465b-b1b6-763b9a29dc64	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
