id	filename	md5	size	project_id	case_ids	aliquot_ids	data_category	data_type	experimental_strategy	workflow_type	new_id	new_md5	new_size
fd3e9535-1052-4ef0-8a0f-b535099a5de0	aeffc030-7e5a-478d-bb80-18c25ca041ae.htseq.counts.gz	a80ca42a28904b660d65cb460fa01e39	261510	TCGA-STAD	264b781d-122b-433d-80d4-59fbec262f22	e0d0c4db-7df0-4fb9-a3cf-26ddc9a2c7ae	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
c227002e-9e2c-4b1a-93cf-c316eb04e1a4	f98dc110-abd1-4cb8-bf70-022f4c5a36bc.FPKM-UQ.txt.gz	1ee3877b96909236b845994219af39a6	533416	TCGA-STAD	43945bf6-6e64-4f13-9822-baf30dcd726c	22b0dade-59a8-4d0a-8372-a7ef782703cf	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
b50d633d-6c0a-4321-b7e6-9ed2dc7fcd7d	b7ce107c-d523-4e92-ab0d-e27aa1f799e2.FPKM-UQ.txt.gz	7a6972625f285af4f997139ebec02275	617724	TCGA-STAD	74f859cf-6df5-4e96-ae6b-cfaab691d5fd	439b3b31-fb3d-4373-a39b-384e30039217	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
c6f4d7bd-d539-48ae-ad17-fa39eda5ff57	b3113d8e-5469-460e-a143-e51d07c64e48.FPKM.txt.gz	f3e4ecb5612c2bb7f31eab388b067d67	553329	TCGA-STAD	b93221ba-2076-4dd4-9931-179571b7e16c	adc1b9aa-0166-4983-ab4e-fd4c8f097b76	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
461d28f9-4426-43ac-8481-c24e24d4552b	jhu-usc.edu_STAD.HumanMethylation450.9.lvl-3.TCGA-BR-A4IU-01A-22D-A254-05.gdc_hg38.txt	f1144dc113034ed45f6f9373b56beda7	141218173	TCGA-STAD	af59b21e-2805-4c0b-8aad-c99b26c79ee1	93a52110-bfa6-4955-865e-1070567152e9	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
a6a80a36-e154-44b9-8340-c2dab6132d04	44df188d-5dd0-488b-9a21-e9ce57f35077.htseq.counts.gz	5933ab5906055f53bf3e9d36007623aa	263206	TCGA-STAD	dccd3854-8865-4452-9f1c-97283509b553	7c29c395-b758-4a38-9bdc-88bb721c8b5d	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
245b4d53-2917-4eb6-bd5a-8e0f188d2adf	jhu-usc.edu_STAD.HumanMethylation450.16.lvl-3.TCGA-VQ-A91N-01A-11D-A411-05.gdc_hg38.txt	de5f761ea778abfe042ec98896edfe89	141272914	TCGA-STAD	cbe05333-3185-4878-b6e6-977a0e1400e4	ae36c79f-705a-4649-9901-3418c9a4077f	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
6760fb99-c743-4cfb-b7d4-41bd8a2ab4f0	d0adbb71-41e9-4b14-b96d-c52d16156fa0.htseq.counts.gz	609208b58dab429355ae6396474a41c2	256196	TCGA-STAD	d5c58161-05ed-4472-81ed-176216f49929	6d9bacc1-4832-44af-b071-d100cb4fb0c3	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
eb7d191d-85ed-4600-821d-d10e987deb13	0776df15-e66e-4978-a585-0f0416fa6880.FPKM.txt.gz	cd110f1eea667605844d358f6d536308	547946	TCGA-STAD	aa2c5d29-2764-4804-9181-5870c0956904	b52a9ebf-2c18-41da-9518-b874d0e4432c	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
5019257b-df99-4eec-bb57-d7238c573a13	27e73964-234d-494a-a7cd-17ab924b0d22.htseq.counts.gz	66e3f5a7b80387eb848eb8b7d0c36ca8	251297	TCGA-STAD	2dc154aa-c478-404b-a92e-86abcc8dbdb7	3d71fcea-73ce-4334-83b5-81cccccf45f7	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
