id	filename	md5	size	project_id	case_ids	aliquot_ids	data_category	data_type	experimental_strategy	workflow_type	new_id	new_md5	new_size
3a0e39cd-3d8e-41bc-a2b8-bb1fb39d48a0	jhu-usc.edu_THCA.HumanMethylation450.12.lvl-3.TCGA-FE-A3PC-01A-11D-A223-05.gdc_hg38.txt	b292c8490f9e44c6dcb82de531120c68	141296313	TCGA-THCA	a86ac3b5-b5e9-4420-8de0-a358fcad85b6	a7fb5ee7-cf27-4c2f-a1fd-8f4f0677773f	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
7a0c8a44-2be1-4a52-a60d-49720a88a335	jhu-usc.edu_THCA.HumanMethylation450.16.lvl-3.TCGA-ET-A4KN-01A-11D-A258-05.gdc_hg38.txt	89b70bb24d44b8c4d56bcf6986618eda	141280767	TCGA-THCA	7629f864-a009-4aa9-bf7e-2d99e00d294e	4c61ba25-e760-44c0-b914-f15dbfb64f09	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
88c3c641-33a1-4ec5-90ec-add78273cbfa	068ac144-4d5b-4c30-8b42-7025f801debe.htseq.counts.gz	60bd57216fbad64572679669afce2eba	255434	TCGA-THCA	47bde6dd-fa41-4d1b-8b20-2a5a5cdb2769	1156c53c-c2f9-48f5-a237-10e6416587fd	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
cc4a08ae-01a3-4b6d-ae88-092d94970a49	jhu-usc.edu_THCA.HumanMethylation450.1.lvl-3.TCGA-BJ-A0ZF-01A-11D-A10W-05.gdc_hg38.txt	19c2b7beebe29f098b650943c2a9eb03	141297436	TCGA-THCA	8beee000-ecab-4a49-9c9d-bb8e677ae199	def45f95-7af6-4a34-b78a-3f49d11145d4	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
95f19045-dea2-41d0-898b-79df5f535555	53939d90-1741-4540-9e53-f9aa7b4aead5.htseq.counts.gz	307d715c7a069e179ef28190bc54e534	252526	TCGA-THCA	cac8246a-a806-4945-898a-105cd88b2752	75ef1cc4-96bc-4721-a271-fd699a3f8e04	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
bef02702-1d0d-4c36-bb3b-cb820a105512	jhu-usc.edu_THCA.HumanMethylation450.7.lvl-3.TCGA-EL-A3D1-01A-11D-A19K-05.gdc_hg38.txt	0a23f96d6ab91f6c0b22dbcf96315fb7	141306576	TCGA-THCA	bcd63672-8a22-4a30-9045-a43def5b4d6f	9b1ca3cf-d605-43cd-b6d6-88720cbf70a0	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
4e9ece57-42f6-46bb-938a-6afdc2775a91	44eeacd5-6027-457c-9c1b-62739b806301.FPKM.txt.gz	1067284d01e6c69d32539e13432c0a6c	514283	TCGA-THCA	c115df9d-cec4-4d7a-87f0-36a5c1f1d51f	79cc211c-8723-4f0b-bc32-89b3efcc8577	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
f27b078f-65b6-49b5-90de-bcd1834a6d8f	cdcc3039-166f-4f56-a4e3-7f4e5846c682.FPKM.txt.gz	304b9bba67b75f28e61bc2c7d1773f83	545296	TCGA-THCA	4bd61e82-5168-4222-a8c8-5124ab8fdd44	4727bb20-6cda-414e-a0d0-0db7eeb583dc	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
3330e450-7092-48e4-99b0-75600fc530e1	c643bb69-8c28-42bb-b7b8-1e27f0a46cfb.FPKM-UQ.txt.gz	889688907817b4f74c23eb677a83e479	527715	TCGA-THCA	a253b21e-ba9b-4928-95d1-89b59c868794	6b0283fd-2875-43ab-9fc0-860ed691c5a3	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
206eade4-6a20-44d2-8340-c4d0b0c5acfc	162aaa94-eff4-4f3b-8e0e-354a6d892301.htseq.counts.gz	e50e8a4ff1be04d09e1ecee48acd4181	252473	TCGA-THCA	2ae6a00c-bc6e-42fe-a0cb-40339d5fdc73	7f6a2c0a-3627-43b0-91f6-9de66c3b1003	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
