id	filename	md5	size	project_id	case_ids	aliquot_ids	data_category	data_type	experimental_strategy	workflow_type	new_id	new_md5	new_size
85ad9242-0867-4fa0-907e-38aa7b8033b8	304a977a-e34e-4bf5-b4c0-3d06eb1d6519.FPKM-UQ.txt.gz	d3f1a488b6358ca5d18fe8950f5355d3	519529	TCGA-UCEC	4485cc98-5d58-4eb4-8325-7d1a617b6461	ac3970c9-575a-4d72-a2b3-45f1ab671bbb	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
012d2c13-d3cb-4980-9dcf-ab997bcbc38f	jhu-usc.edu_UCEC.HumanMethylation450.3.lvl-3.TCGA-D1-A0ZS-01A-11D-A123-05.gdc_hg38.txt	7ae286560b4fc5945e07f5bd74584390	141285547	TCGA-UCEC	80105773-372e-4552-a10b-5df188b15b16	08d043b8-8ead-4ee7-b482-8f99af6cd162	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
4cc8560b-e43a-4373-b1d5-65eaade749c3	293f120d-b367-496f-9918-b9706661a772.FPKM.txt.gz	fbd6433422cb007a67198060f7b5efb0	489823	TCGA-UCEC	503e6c30-1b62-4f85-bcb4-e34c009894ab	18b41a91-88d1-4938-a57f-0464fc7422bc	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
4574744f-36f2-468c-a861-6c411e28e282	a717b697-d2cc-4edb-9742-d976aae5beae.htseq.counts.gz	6f2dc3aac1249f132a006d43d71d697c	253095	TCGA-UCEC	ea1c693d-490d-4816-b6e3-d12946ad7cc1	4547d0d6-21ed-4128-9be9-34555bff3b83	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
deaae0be-763f-4a24-bbce-252fbc02832b	jhu-usc.edu_UCEC.HumanMethylation450.15.lvl-3.TCGA-EO-A3B1-01A-12D-A19Z-05.gdc_hg38.txt	87c1c837d345aaf21b7997b41e0727dc	141283714	TCGA-UCEC	2cf8de9f-b305-4d98-bfd4-33377bf6138f	9a1ae0b5-cf5e-4cd3-a27d-96c3ad1ee589	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
db4bfae9-7a6b-4f3d-8e83-3433e2d9e6d1	65703426-dbb6-4591-ad7f-53663cc3aeae.FPKM.txt.gz	d8b023914f6ab3046595c8c74c9024d0	518994	TCGA-UCEC	e4510c66-a60b-4b09-a4e8-74ec5b26a3a5	245e65eb-ec7a-4a85-a524-194afbdf67ef	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
a0d73c2a-704f-4b88-ad75-a3247bb48624	d6cd4231-04ff-4cca-ba8d-89abe6bec9b0.FPKM-UQ.txt.gz	7ee1141a88b4572a23d795e5f252916a	517188	TCGA-UCEC	7dce4215-01f6-43e9-9378-9e22c26c23a2	39dbc57b-dd7d-4ebe-a905-47b500adef88	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
5103f984-4ebc-440c-9ae0-122e70a64e30	80c96dc1-c0a0-4613-b03a-369f00904460.htseq.counts.gz	3735ebf1148d20ab290f5ac7d1545508	253140	TCGA-UCEC	5d2f1a0f-a01b-48c2-b749-1ca710aa2bb4	fcb43e1a-3b34-4ff1-8d3e-849fbf901877	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
f860992b-63a2-41e6-94ee-e6eb36ef5e80	d4ab34ef-6630-476e-a85d-60eb0e2da469.FPKM-UQ.txt.gz	017bb28b9badb1d4ef2a6175c0988ce0	498952	TCGA-UCEC	db3a4986-55d5-4ecc-be73-59725dce3c33	d653b50c-d568-48a1-bbed-5e36fbf525ac	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
f53e542b-dd7a-4b0a-ace8-0c86d69d2777	jhu-usc.edu_UCEC.HumanMethylation450.16.lvl-3.TCGA-AJ-A3BI-01A-11D-A212-05.gdc_hg38.txt	70af7c4cec1d142bea80e5babc460345	141285016	TCGA-UCEC	525fb4fc-2167-4506-b4fa-fb896bf64cd0	be3822b1-f69a-49d9-a639-7cc3440c1509	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
585e8aa6-b0a3-4f12-ba26-8d7ca4f7c5e4	ad417a8f-bc1e-4a1d-84ca-83bcc26ca179.FPKM.txt.gz	0028987c65c96c2f15f96f42971b9f53	547521	TCGA-UCEC	8e8f19bd-dbaa-4738-bad2-207f634cd63d	2eede096-06aa-4026-9c23-2a2d1d9015c1	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
edb4cee6-b9eb-4bc0-9f9d-caf2fe16116b	d09dc15d-98ac-44c1-a474-a9710f87b8ae.htseq.counts.gz	54f6801aa764b69a2a783d600ecfad93	241667	TCGA-UCEC	553f0ccd-4e6f-4ae2-9b39-97529eb3d826	d98e99e1-ee3e-4427-90ec-24e624aa1b46	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
ab9bbaa2-e778-4c2e-a5b4-8fad4dacd97f	c9936adb-0c96-4651-b37f-1df1c92ae307.htseq.counts.gz	dfe6a9a214333a31e0f466d9f5e27f36	246105	TCGA-UCEC	ca7f9d8b-2abc-4606-bf95-4c42791b38bd	631c96e1-7e11-4c0f-a6ea-49cd942f4390	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
f7dc28f7-3129-4239-ba49-9b035262a6e1	c9b6ca16-44ea-4173-83ff-ead3fd987937.FPKM.txt.gz	c27bf8cbf6d265df4bc6659dd88af4bb	537633	TCGA-UCEC	e00f6dc5-bc8b-472d-bac3-c7823364f01e	13a499dd-2bb6-4750-b24a-1c76993f5b97	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
04a7da3b-86b4-4c8e-91f9-a72ca63638a4	4bf7c191-bbcb-4a92-bbf8-3e72db34f264.FPKM-UQ.txt.gz	aa76eec91c8b0f07e60122b752f89116	495539	TCGA-UCEC	bc02493a-0296-4329-939a-bf91a4d0c16a	ac3b86dc-2dd8-41e8-832a-5625f5cd5a27	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
8cf9024a-2b9b-466e-873b-9cc96954ce73	e916087d-f531-4130-9823-1019ee7a7dd9.htseq.counts.gz	e59d9ad3615daba7086a65912d9f9f98	244952	TCGA-UCEC	e8c58d8b-51d7-4599-af79-469ee6f269db	75b0fdbd-9670-468e-b426-410c95d84426	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
b867ec32-f943-4285-a0cb-a416f100f258	146ec029-21fe-4f5c-bca1-b1af900787e9.FPKM-UQ.txt.gz	9994f0997cfdd1d5d65205c5fcfe60b3	484342	TCGA-UCEC	80105773-372e-4552-a10b-5df188b15b16	f35db751-0250-4045-9faf-2c0f1158b354	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
00086b37-ad3a-4e4b-b44d-ea0cc657f48b	bdc49eae-31d4-425b-b7d1-49f1cf14df44.FPKM-UQ.txt.gz	a26913ae01c41c8a69661573f201df88	515966	TCGA-UCEC	838fcc2b-48b4-49dd-b8fc-ff27bbd16b17	770fd2b7-24cf-432b-829d-39364a11277d	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
ba4469b0-0cb1-4c67-9502-36d5563a9119	jhu-usc.edu_UCEC.HumanMethylation450.10.lvl-3.TCGA-BG-A220-01A-11D-A161-05.gdc_hg38.txt	b0d1a40be4855fef5b1648d8f3b7d16e	141302742	TCGA-UCEC	41dcafa0-b196-46dd-ab07-58cb747c9ebc	494a7039-ad59-46e3-b240-fe5a0e40ea55	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
a8aa1c56-75eb-4c07-a1f7-bfe2533b6c9b	3949d143-ea2f-49b8-a003-5e49d06fde1a.FPKM-UQ.txt.gz	db7bd1a6ecc9b0d43ce4d1634eda3c86	530210	TCGA-UCEC	d79e692c-5053-4484-a180-01a094c5ff45	c45110ae-6ba6-44d7-8bff-5fa16c45d962	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
03576ece-7979-403e-85d8-715a2370acac	a3cc902b-3b03-4025-a06e-8c6ff3357b66.htseq.counts.gz	527ef58a25b6bf51d4e87a5e22d2b534	241567	TCGA-UCEC	7adaf608-19a5-4184-8b79-bbc6f9cf24ae	60fc2e50-f36c-4074-879b-b5773d75a466	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
