id	filename	md5	size	project_id	case_ids	aliquot_ids	data_category	data_type	experimental_strategy	workflow_type	new_id	new_md5	new_size
e4e84bcd-6543-407f-9a5e-35bc50ef8641	jhu-usc.edu_UVM.HumanMethylation450.1.lvl-3.TCGA-VD-A8KK-01A-11D-A39X-05.gdc_hg38.txt	7dab7da6d53ff726e900c26d59b6d414	141317229	TCGA-UVM	8e6d3005-445a-4b7f-95ec-a988a121c628	28524616-bd87-4cf3-acef-64856bc24a7e	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
42fa6954-b2b2-48b6-8fa8-2e54f7c0117b	e5240a8c-21af-4e26-8422-1c538258155b.htseq.counts.gz	eca2f7b3680a3c32aeca949ac77388b6	250759	TCGA-UVM	df685f8c-645a-47ae-a471-63bf1973a0ae	c3d39ee9-f15a-4f10-a04c-1a42e612e387	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
8e961bd9-c2b9-40fa-8e4f-d1005c9bfd3d	5d2e0d9a-7078-49f0-9fc9-a39cf989043d.FPKM.txt.gz	21e6ca1fdb0f458b033eb4761578000b	457482	TCGA-UVM	029cc59c-60df-4411-a044-3a2eeee7b110	bb755636-09e2-43e0-a957-79928a6e4f73	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
d8aa774b-cb0a-4403-92e5-13ca91fb72d2	jhu-usc.edu_UVM.HumanMethylation450.1.lvl-3.TCGA-WC-A880-01A-11D-A39X-05.gdc_hg38.txt	c832ef924966ce423f59fc9906de30e4	141311203	TCGA-UVM	d8e15178-d8c5-4e4e-895c-57ffe5bc80c2	fec3f5a3-b678-4d4e-b706-f339675fa164	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
229db991-e4bc-44f5-9b6b-1f49579a0997	13065e90-990a-47f9-9320-ba84c1ace888.FPKM.txt.gz	bd6a99ba1e448daae7f4db323ced2652	450346	TCGA-UVM	39e494bc-7710-4f9f-98b0-0f509f7aef1a	ace08b32-d427-4d62-b455-a37a7010be68	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
02fed0c3-b77d-42c6-ba36-64c177eca207	jhu-usc.edu_UVM.HumanMethylation450.1.lvl-3.TCGA-VD-A8KJ-01A-11D-A39X-05.gdc_hg38.txt	721ccd256ea6817114591193a24e07b4	141302884	TCGA-UVM	7289bc25-2551-4c6d-b2fa-c7e13859b9b3	699f97c5-c972-40b6-890b-70d0519dd85f	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
9d2abc60-f859-428d-9aa7-1ee17137810f	jhu-usc.edu_UVM.HumanMethylation450.1.lvl-3.TCGA-VD-AA8P-01A-11D-A39X-05.gdc_hg38.txt	9c7c492ac658b0e6c41e167951edee4a	141307841	TCGA-UVM	b224e42d-8b6d-4578-963c-bf528b954900	0cd0bcdd-5b6f-4801-9ce4-315df611c39e	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
43d6d4ea-eae6-42fb-8ae6-051d81f37491	jhu-usc.edu_UVM.HumanMethylation450.1.lvl-3.TCGA-V4-A9E9-01A-11D-A39X-05.gdc_hg38.txt	304a5053a5beb7ba0f736627aebeb772	141315684	TCGA-UVM	418152bd-7d33-4f0a-b890-2356b30d6f44	202b436a-b78e-4304-8953-9b5d9f6ea8d3	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
79ca1e4a-0e88-4d76-8c0f-b53d695ed64c	79d9c719-ff0d-4574-8b43-db11bb355c0d.FPKM.txt.gz	6ab8b2b9ae595a88dcdbc86f27af0e4e	466829	TCGA-UVM	22e7816d-4be9-4f84-b487-baa6ca35452d	a7c9b6b2-0654-446b-90f3-4ec3cf181e3b	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
e6eac591-a163-45ab-82b7-4730dfcc1788	jhu-usc.edu_UVM.HumanMethylation450.1.lvl-3.TCGA-V4-A9F0-01A-11D-A39X-05.gdc_hg38.txt	bc07680198f353a97105aa973a239518	141313542	TCGA-UVM	92fca97d-6123-46a7-9c34-7a6f877fe612	e7086c04-6ead-45ab-ade5-92345269c4fa	DNA Methylation	Methylation Beta Value	Methylation Array	Liftover	NA	NA	NA
