project_id	workflow	experimental_strategy	aliquot	reason
CPTAC-3	AscatNGS	WGS	CPT0006900009	Failed Harmonization
CPTAC-3	AscatNGS	WGS	CPT0011000006	Failed Harmonization
CPTAC-3	AscatNGS	WGS	CPT0011100002	Failed Harmonization
CPTAC-3	AscatNGS	WGS	CPT0012180009	Failed Harmonization
CPTAC-3	AscatNGS	WGS	CPT0012240002	Failed Harmonization
CPTAC-3	AscatNGS	WGS	CPT0027010009	Failed Harmonization
CPTAC-3	AscatNGS	WGS	CPT0027070002	Failed Harmonization
CPTAC-3	AscatNGS	WGS	CPT0070260009	Failed Harmonization
CPTAC-3	AscatNGS	WGS	CPT0071030002	Failed Harmonization
CPTAC-3	AscatNGS	WGS	CPT0075380009	Failed Harmonization
CPTAC-3	AscatNGS	WGS	CPT0075440002	Failed Harmonization
CPTAC-3	AscatNGS	WGS	CPT0078000006	Failed Harmonization
CPTAC-3	AscatNGS	WGS	CPT0092160009	Failed Harmonization
CPTAC-3	AscatNGS	WGS	CPT0207870007	Failed Harmonization
CPTAC-3	AscatNGS	WGS	CPT0207930002	Failed Harmonization
CPTAC-3	BRASS	WGS	CPT0006900009	Failed Harmonization
CPTAC-3	BRASS	WGS	CPT0011000006	Failed Harmonization
CPTAC-3	BRASS	WGS	CPT0011100002	Failed Harmonization
CPTAC-3	BRASS	WGS	CPT0012180009	Failed Harmonization
CPTAC-3	BRASS	WGS	CPT0012240002	Failed Harmonization
CPTAC-3	BRASS	WGS	CPT0027010009	Failed Harmonization
CPTAC-3	BRASS	WGS	CPT0027070002	Failed Harmonization
CPTAC-3	BRASS	WGS	CPT0070260009	Failed Harmonization
CPTAC-3	BRASS	WGS	CPT0071030002	Failed Harmonization
CPTAC-3	BRASS	WGS	CPT0075380009	Failed Harmonization
CPTAC-3	BRASS	WGS	CPT0075440002	Failed Harmonization
CPTAC-3	BRASS	WGS	CPT0078000006	Failed Harmonization
CPTAC-3	BRASS	WGS	CPT0092160009	Failed Harmonization
CPTAC-3	BRASS	WGS	CPT0207870007	Failed Harmonization
CPTAC-3	BRASS	WGS	CPT0207930002	Failed Harmonization
TARGET-RT	Arriba	RNA-Seq	TARGET-52-PASXGF-01A-01R	Failed Harmonization
TARGET-RT	STAR - Counts	RNA-Seq	TARGET-52-PASXGF-01A-01R	Failed Harmonization
TARGET-RT	STAR 2-Pass Chimeric	RNA-Seq	TARGET-52-PASXGF-01A-01R	Failed Harmonization
TARGET-RT	STAR 2-Pass Genome	RNA-Seq	TARGET-52-PASXGF-01A-01R	Failed Harmonization
TARGET-RT	STAR 2-Pass Transcriptome	RNA-Seq	TARGET-52-PASXGF-01A-01R	Failed Harmonization
TARGET-RT	STAR-Fusion	RNA-Seq	TARGET-52-PASXGF-01A-01R	Failed Harmonization
TARGET-WT	MuTect2 Annotation	WXS	TARGET-50-PAKGZX-01A-01D	Failed Harmonization
TARGET-WT	MuTect2 Annotation	WXS	TARGET-50-PAKGZX-10A-01D	Failed Harmonization
