seqname	start	end	strand	gene_id	gene_name	gene_type
chr1	30366	30503	+	ENSG00000274890.1	MIR1302-9	miRNA
chr1	89551	91105	-	ENSG00000239945.1	RP11-34P13.8	lincRNA
chr1	258568	259024	-	ENSG00000241670.3	AP006222.1	processed_pseudogene
chr1	632325	632413	-	ENSG00000278791.1	MIR6723	miRNA
chr1	965110	965166	+	ENSG00000277294.1	AL645608.1	miRNA
chr1	1055033	1056116	+	ENSG00000242590.1	RP11-54O7.14	sense_intronic
chr1	1312502	1312566	-	ENSG00000274153.1	MIR6727	miRNA
chr1	1405460	1405752	-	ENSG00000264293.2	RN7SL657P	misc_RNA
chr1	3736943	3737103	+	ENSG00000276189.1	TP73-AS1	misc_RNA
chr1	6393555	6394391	+	ENSG00000271746.1	RP1-202O8.3	antisense
chr1	9848318	9850154	+	ENSG00000223989.1	RP11-84A14.5	antisense
chr1	9983141	9984568	+	ENSG00000241326.1	RP11-807G9.2	sense_intronic
chr1	10306465	10306757	+	ENSG00000264501.2	RN7SL731P	misc_RNA
chr1	10458555	10459338	+	ENSG00000203469.2	RP5-1113E3.3	antisense
chr1	11843812	11843984	+	ENSG00000276470.1	NPPA-AS1_1	misc_RNA
chr1	11845549	11845697	+	ENSG00000278852.1	NPPA-AS1_2	misc_RNA
chr1	11847442	11847549	+	ENSG00000275915.1	NPPA-AS1_3	misc_RNA
chr1	12824942	12828663	-	ENSG00000279195.1	PRAMEF11	protein_coding
chr1	15659869	15661722	+	ENSG00000215695.1	RSC1A1	protein_coding
chr1	15684472	15684558	+	ENSG00000264048.1	AL121992.1	miRNA
chr1	16006160	16006671	-	ENSG00000233078.1	RP11-5P18.5	antisense
chr1	16197854	16198357	+	ENSG00000234166.1	ARHGEF19-AS1	antisense
chr1	16408508	16408583	+	ENSG00000281598.1	AL358794.1	miRNA
chr1	16873708	16873851	+	ENSG00000277234.1	U1	snRNA
chr1	17406760	17407382	+	ENSG00000227751.1	RP1-20B21.4	antisense
chr1	17413631	17413694	-	ENSG00000266727.1	AC004824.1	miRNA
chr1	20633679	20633788	+	ENSG00000273695.1	MIR6084	miRNA
chr1	23370254	23370346	+	ENSG00000201405.1	Y_RNA	misc_RNA
chr1	25831913	25832134	-	ENSG00000272478.1	RP1-317E23.7	antisense
chr1	26876133	26878245	+	ENSG00000226698.1	RP1-50O24.6	antisense
chr1	27325470	27325553	+	ENSG00000281023.1	FO393419.1	miRNA
chr1	27850574	27850744	-	ENSG00000278868.1	AL109927.1	protein_coding
chr1	28507366	28507571	+	ENSG00000274266.1	SNORA73A	snoRNA
chr1	28579764	28579893	-	ENSG00000278274.1	SNORA61	snoRNA
chr1	28580381	28580512	-	ENSG00000273544.1	SNORA44	snoRNA
chr1	28580920	28581054	-	ENSG00000280498.1	SNORA16A	snoRNA
chr1	28580920	28581056	-	ENSG00000274582.1	SNORA16A	snoRNA
chr1	28648600	28648730	+	ENSG00000270103.3	RNU11	lincRNA
chr1	32170733	32176568	+	ENSG00000250135.1	RP4-622L5.2	sense_intronic
chr1	35925832	35929610	+	ENSG00000280133.1	RP4-789D17.3	TEC
chr1	37480230	37480289	+	ENSG00000278228.1	MIR6732	miRNA
chr1	37799720	37800879	-	ENSG00000233728.1	RP11-109P14.9	antisense
chr1	37860697	37861580	+	ENSG00000230955.1	RP11-109P14.10	antisense
chr1	40984853	40984919	-	ENSG00000281712.1	AL391730.2	miRNA
chr1	43364648	43364715	-	ENSG00000277622.1	MIR6734	miRNA
chr1	43448539	43448611	+	ENSG00000274975.1	MIR6735	miRNA
chr1	44103945	44104079	+	ENSG00000281534.1	AL139220.1	miRNA
chr1	44775864	44775943	+	ENSG00000264294.1	SNORD55	snoRNA
chr1	44778390	44778456	+	ENSG00000207421.1	SNORD38B	snoRNA
chr1	44778390	44778458	+	ENSG00000281859.1	SNORD38B	snoRNA
chr1	44819883	44819997	-	ENSG00000202444.1	RNU5E-6P	snRNA
chr1	47761132	47765547	-	ENSG00000223814.1	RP11-543D5.2	lincRNA
chr1	52150329	52150412	+	ENSG00000281172.1	AL139156.1	miRNA
chr1	53069938	53085502	-	ENSG00000232993.1	RP11-334A14.5	antisense
chr1	53073110	53073389	-	ENSG00000227644.2	HIGD1AP11	processed_pseudogene
chr1	54099968	54100224	-	ENSG00000279049.1	AL353898.1	pseudogene
chr1	54980950	54992274	-	ENSG00000233271.1	RP11-12C17.2	antisense
chr1	62211557	62211666	+	ENSG00000200174.1	Y_RNA	misc_RNA
chr1	63548977	63549112	-	ENSG00000276884.1	DLEU2_6	misc_RNA
